co_low_high_FC1,co_low_FC1,co_high_FC1,co_low_FC1.5,co_high_FC1.5,co_high_low_FC1.5
Il9r,Zfp869,Ssh2,,,
Clec16a,Fcgr3,Smad4,,,
Armcx2,Tmed2,Osbpl6,,,
Sycp2l,Cct2,Trak1,,,
Etaa1,Ppp1r2,Pcgf2,,,
Top2a,Wdr78,Gdpd3,,,
Mrpl51,Cyb5r4,Vcpkmt,,,
Ccr4,Rbbp4,Fbf1,,,
Ncaph,Cd3d,Dnmbp,,,
Invs,Sorl1,Grin2d,,,
Txndc12,Kpnb1,Clcf1,,,
Gpr176,Abhd8,Nr4a1,,,
Prpf40b,Arpc5,Enc1,,,
Mcm4,Ppat,Ppp2r3d,,,
Alms1-ps2,Twf2,Fam171b,,,
Megf9,Rpn1,Cdc42bpb,,,
Slc20a2,Prmt1,Coro2b,,,
Fam135a,Tlcd2,Mroh1,,,
Pik3ip1,Ncbp1,Vps37c,,,
Zfp109,Rftn1,Zbtb39,,,
Trappc12,Pygb,Peg3,,,
Itgae,Jtb,Adamts3,,,
Actr3,Ctsc,Psd3,,,
Copa,Impdh2,Tnks1bp1,,,
Ntng1,Rad23b,Ptk2,,,
Usp6nl,Ola1,Wipf3,,,
Tctex1d2,Bzw2,Zbtb49,,,
Dock7,Cox7b,Gpsm1,,,
Uba7,Klhl4,Prr3,,,
Mcee,Fgfbp3,Dbp,,,
Ptch1,Hmgn2,Cxcl2,,,
Prkca,Ppp2ca,Ankrd55,,,
Asb3,Igkv12-44,Kdm6b,,,
Ormdl1,Ccna2,Gm14230,,,
Gm16157,Ankrd27,Fchsd1,,,
Gm5129,Anapc16,Zbtb40,,,
Ncapg2,Gys1,Fzd6,,,
Fancf,Vrk3,Ppfia3,,,
Trim59,Slc5a6,Map3k14,,,
Tmtc1,Arhgap15,Gm6472,,,
2810417H13Rik,4930579G24Rik,Pde1c,,,
Eif3l,Tmem86a,Ccdc173,,,
Bcl9,Rab8b,Unc45a,,,
Blm,Samm50,Zbed3,,,
Zfp273,Rapsn,Fam43a,,,
Cct4,Rpl12,Zfp142,,,
Mndal,Rpl13a,Pde4b,,,
Hdac5,Atp5j,Mtss1l,,,
Gata3,Flna,Adam33,,,
Slc7a5,Hcst,Smyd2,,,
Lars,Klk1b9,Pak1,,,
Gm5595,Crnkl1,Atp6v1c2,,,
Per1,Nudcd1,Dok3,,,
Pank3,Ppp1r7,Stx3,,,
Cpm,Stt3a,Gm22748,,,
Chrm4,Gatsl3,Apol9b,,,
Dusp6,Actr10,Cbfa2t3,,,
Ppdpf,Nop9,Cyp4f16,,,
Hmgb2,Pbx4,Nlrc4,,,
Slc7a10,Pafah1b3,Gbp7,,,
Mcm7,Bphl,Itga3,,,
1700019G17Rik,Xrcc4,Dnajb2,,,
Smpdl3b,Nkg7,AI838599,,,
Zfp964,1810044D09Rik,Nr2c1,,,
Snrnp40,Cdca8,Muc4,,,
Relb,Churc1,Aifm2,,,
G2e3,Kcnk5,Cyth2,,,
Catsperg1,Gm15510,Kmt2d,,,
Mtap,Spcs3,Gse1,,,
Dcbld2,Plrg1,Raph1,,,
Sptb,Snx13,Dnajc6,,,
Zfp473,Rnf34,Spib,,,
Btla,Vdac1,Dnajc25,,,
Neo1,Hmbs,Nr4a2,,,
Psmc1,Ighv8-8,Gm15800,,,
Xdh,Ddit4,Pkp4,,,
Pomt2,Man2a1,Tspyl2,,,
Arhgap11a,Atg101,Phf21b,,,
Zbtb18,Ttc7,Card10,,,
Nmnat2,Tkt,Rassf6,,,
Cxcl3,Cnn2,Abl1,,,
Cask,Adss,Acyp2,,,
Ppm1m,Mapk8ip1,Grm6,,,
Epb4.1l1,AI847159,Rin3,,,
Phlda1,Clptm1l,Zmynd8,,,
Rere,Anln,Pkp2,,,
Grap,Gpbp1l1,Ang,,,
Rasgrf2,,Pigr,,,
Gbp2b,,Kmt2e,,,
Npepl1,,Tcea2,,,
Mllt4,,Zfp536,,,
Dmwd,,Atp8a1,,,
Kat6b,,Trim3,,,
Spag1,,Ip6k2,,,
Rnf122,,Cnrip1,,,
Crybg3,,Nell1,,,
Bcor,,Atcay,,,
Kremen1,,Atp11a,,,
Harbi1,,Limch1,,,
Lyrm5,,Myo9b,,,
Tspan13,,C2cd4b,,,
Avil,,Zfp618,,,
Efnb2,,Mypop,,,
Rpl36al,,Mapre3,,,
Irf4,,Cacna1a,,,
Gm7461,,Tecpr2,,,
Vwa3b,,Rimkla,,,
Dock2,,Bcl6,,,
Aldh2,,Srrm2,,,
4930452B06Rik,,Cnot4,,,
Tctn3,,Mdk,,,
Ldhd,,Cndp1,,,
Ablim2,,9030617O03Rik,,,
Gm14377,,Mllt6,,,
D130040H23Rik,,Gm7809,,,
Fam129c,,Arhgef2,,,
St6galnac1,,Iqsec2,,,
Pkd2,,Dnmt3b,,,
Gm12847,,Hoxb3,,,
Ect2l,,Adi1,,,
Gnaq,,Apol7e,,,
Synpo,,Klc2,,,
Rrm2,,Ifi203,,,
Tiam2,,Slc22a17,,,
Ssh3,,Amigo1,,,
Jund,,Ptov1,,,
