metabolite,HMDB,KEGG,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,ttest_pval_Th17vsTfh,ttest_tscore__Th17vsTfh,padj_lim_ttest_tscore__Th17vsTfh,ttest_pval_Th1vsTfh,ttest_tscore__Th1vsTfh,padj_lim_ttest_tscore__Th1vsTfh,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
L-Fucose_1-phosphate,HMDB01265,C02985,19.974316100000003,20.43119721,20.28469071,20.06262863,20.99829394,20.75532496,20.46163267,19.81766881,19.97477822,20.00332378,20.07994507,19.56848522,19.53406196,19.70886084,19.57356635,0.0276055200178252,-3.07565910633883,0.0923152336079962,0.000414301192992996,-8.30129196952874,0.00127571951505764,0.0031987751605268198,-5.29743757450469,0.0160454689503845,2.6899999999999997e-05,26.03306899,6.440000000000001e-05
D-Glucosamine_6-phosphate,HMDB01254,C00352,22.49432132,22.56770685,22.27498721,21.46603963,22.65008844,22.33306551,22.69040577,22.24639654,22.32787074,22.32341301,22.05487234,21.3063076,21.33025615,21.10112604,21.19983664,0.3063856446505511,-1.13881185273134,0.50128515041174,8.06004300317923e-05,-11.686851783868198,0.000374130354326678,0.0459034544279289,-2.6413155019464702,0.0964592859938236,0.00038701199999999995,14.49691651,0.000733907
6-Phosphogluconic_acid,HMDB01316,C00345,23.03069552,22.96516358,22.06894002,23.20243087,20.94161038,23.21908032,21.78010161,21.16085605,20.92409139,21.49681839,21.59268223,19.84038679,19.46771483,19.86628092,19.50385763,0.243246565052367,1.32255054449165,0.4423957995981641,0.00982140353761733,-4.05041052012183,0.0189717795043416,0.293722142474223,-1.17274910322473,0.397163418736884,9.120000000000001e-05,20.05775803,0.00019783099999999998
4-hydroxybenzoate/Gentisate_aldehyde,HMDB00500,C00156,21.51143048,21.06255591,21.58740829,21.23553302,21.09577542,20.90449346,22.818297899999997,21.00639104,21.20900297,20.93052081,21.08462121,20.915281699999998,20.73382016,21.16116045,20.706614899999998,0.647796465343145,-0.485577437680378,0.7977989995084609,0.22402001344483305,-1.3872515479120702,0.274292221186391,0.33466464508578603,-1.06722888899315,0.448623726817584,0.260748508,1.53342201,0.289617093
3-hydroxyanthranilate,HMDB01476,C00632,18.87951827,19.04193055,19.15606831,18.25868064,18.7059418,18.79452316,19.02650469,18.42732718,18.66491419,18.5708462,18.19426057,19.61418184,19.70980686,19.48821979,19.57453495,0.9748586286960308,-0.0331222923444898,0.990787691256423,0.000554819514999719,7.80032736729535,0.00159767471448993,0.0480550594117891,-2.6033388086215004,0.0991039491809896,0.00039263199999999996,14.44845385,0.0007400519999999999
quinolinate,HMDB00232,C03722,19.27050468,19.13938372,18.92044967,19.08094015,19.15789437,19.38685259,18.7392079,19.28739208,19.15564241,18.98166419,19.15903893,19.01198418,19.04544843,19.11212291,18.89324421,0.96563712182089,0.0452797177486503,0.9888442648108392,0.657519256498472,-0.4709318093395221,0.697912930959129,0.781454621101075,0.29277566411282696,0.855747842121248,0.77725754,0.368521448,0.808451823
2-acetamido-5-oxopentanoate,HMDB06488,C01250,20.45786933,20.20000203,20.45095308,19.95217253,20.80196332,21.05975096,20.00110933,20.26374882,19.32123665,18.75671774,19.42385919,16.2871124,15.62323036,15.91859601,15.84120805,0.292328280922755,-1.17656301134373,0.489336817650698,2.3553937748107e-05,-15.0375112304819,0.000141174840495203,0.0484706225490679,-2.59621920010569,0.0991734448207903,5.19e-08,89.53814092,2.56e-07
N-acetyl-L-glutamate,HMDB01138,C00624,24.24903206,24.20541631,24.34408632,24.10981487,24.32331159,24.43283427,24.12631516,24.19273555,23.72810085,23.48523276,23.8378749,23.10296036,23.04423158,23.04435405,22.96580165,0.509872415240325,-0.709232731861774,0.6954838646479871,2.17303574363309e-05,-15.2864092944641,0.000136232189048007,0.0512567563911557,-2.55014910774526,0.100891463529427,3.27e-06,40.04834568,9e-06
L-cystathionine,HMDB00099,C02291,19.50072792,19.63179557,19.41006949,19.41927204,17.65817115,18.13041943,17.39358742,17.38718945,17.23801241,16.91785096,17.28707814,17.67819662,17.61800467,17.731827499999998,17.66567185,0.000245990453554691,9.266898032164141,0.00319492702766903,0.7792365319502559,-0.295851713682943,0.8051247888256801,0.0616054434158849,-2.4002014962981604,0.116824956721587,2.88e-08,100.08605159999999,1.66e-07
N1-(5-Phospho-D-ribosyl)glycinamide,HMDB02022,C03838,19.51311242,19.5807628,19.5323016,18.11581895,18.63573138,18.205318,18.78216581,18.34610753,18.31201809,18.34127566,18.378528699999997,17.78715843,18.25228934,18.01250638,18.09399041,0.208426699270879,1.44368757186483,0.398336508746788,0.0411924563259071,-2.73178909824182,0.0631076547653059,0.235219944975162,-1.34895944985587,0.335566068290253,0.013305251,5.694443758999999,0.019336136
