metabolite,HMDB,KEGG,geoMean_Tact,geoMean_Tfh,log2FC_TfhvsTact,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells
L-phenylalanine,HMDB00159,C00079,29.21580012,28.93271866,-0.28308146,0.155641785,1.670723126,0.322697301,29.29719426,29.25409987,29.16528849,29.14661787,28.82826433,29.31226771,28.65762394
Biotin,HMDB00030,C00120,21.38872552,21.87962983,0.49090431,0.051834835,-2.540933771,0.151602789,21.52206782,21.38547489,21.61848038,21.02887898,21.60600669,22.07793069,21.9549521
S-Adenosyl-L-homocysteine,HMDB00939,C00021,21.82965745,21.20091386,-0.62874359,0.246448237,1.312241534,0.442505712,22.35235416,21.91919878,22.32862892,20.71844792,21.34441902,21.4223197,20.83600287
S-adenosyl-L-methionine,HMDB01185,C00019,22.19136747,23.3469415,1.15557403,0.698054813,-0.411057561,0.825456452,24.60267143,15.06580356,24.50867968,24.58831522,23.2028897,23.47026824,23.36766657
Riboflavin,HMDB00244,C00255,22.08595219,21.45613536,-0.62981683,0.026537531,3.11044166,0.092315234,22.14059459,22.28300591,22.01185273,21.90835551,21.14888118,21.86566677,21.35385812
Folate,HMDB00121,C00504,17.24461803,16.05668628,-1.18793175,0.336382996,1.063048855,0.530507588,17.5967623,16.84449059,17.48945671,17.0477625,17.14627799,17.57828535,13.44549549
Coenzyme_A,HMDB01423,C00010,17.33076452,19.68524825,2.35448373,0.275755429,-1.223196037,0.476444102,20.40465051,17.42094999,16.6738782,14.82357936,21.5651848,21.0126929,16.47786704
L-threonine,HMDB00167,C00188,25.61387763,25.43871061,-0.17516702,0.106220974,1.967811403,0.248381375,25.65706967,25.60038747,25.65767506,25.54037833,25.35157456,25.63583972,25.32871756
glycine_betaine,HMDB00043,C00719,31.05178113,30.73817658,-0.31360455,0.002072986,5.84619852,0.01401519,31.07962588,31.12782599,30.99257353,31.00709911,30.73478179,30.81920541,30.66054254
L-glutamine,HMDB00641,C00064,30.02357151,29.59552209,-0.42804942,0.027604772,3.075682932,0.092315234,30.12553616,30.03647824,29.99349342,29.9387782,29.48731652,29.90437809,29.39487165
L-tyrosine,HMDB00158,C00082,25.7802966,25.54159341,-0.23870319,0.0932217,2.070151291,0.231935591,25.86965158,25.86814075,25.75122859,25.63216547,25.54210565,25.73559786,25.34707671
L-alanine,HMDB00161,C00041,26.93388316,26.97791958,0.04403642,0.292600417,-1.175817126,0.489336818,26.92197164,26.95927195,26.96610073,26.88818832,26.92847812,26.95550525,27.04977538
L-proline,HMDB00162,C00148,31.47114421,31.27152277,-0.19962144,0.008891472,4.152153846,0.04066541,31.45986597,31.53079091,31.45929108,31.43462888,31.36063545,31.18994445,31.26398842
inosine,HMDB00195,C00294,22.10357416,23.02609796,0.9225238,0.00064595,-7.550067883,0.005739727,22.3456621,22.15354253,22.00749682,21.90759519,23.0573082,23.1047436,22.91624207
_adenosine_,HMDB00050,C00212,21.59334699,21.87327706,0.27993007,0.821136104,-0.238259805,0.910028109,20.1567149,21.50011842,23.75249188,20.96406276,21.50541251,20.55749215,23.55692653
2-deoxycytidine,HMDB00014,C00881,21.05664575,20.43727109,-0.61937466,0.020821936,3.328116656,0.07618379,20.90944549,21.24660689,20.9001876,21.17034301,20.11229017,20.74688304,20.45264005
adenine,HMDB00034,C00147,27.00158968,25.88920002,-1.11238966,0.111406779,1.93058462,0.256648209,26.1818267,27.4658037,27.24060675,27.11812157,24.90789628,25.90918663,26.85051715
Guanine,HMDB00132,C00242,25.92654705,26.49442333,0.56787628,0.017523601,-3.48716489,0.065660722,26.00324197,25.97195675,26.09017588,25.64081359,26.22451005,26.65824683,26.60051311
cytosine,HMDB00630,C00380,24.81879971,24.29943668,-0.51936303,0.013276934,3.751226347,0.057348979,24.70441172,24.98556683,24.65752503,24.92769527,24.09986984,24.51279869,24.28564151
thymine/imidazol-4-ylacetate,HMDB00262,C00178,24.37184186,23.55132876,-0.8205131,0.003187692,5.301667017,0.019827446,24.49886616,24.50707942,24.20064044,24.2807814,23.69220552,23.70838678,23.25339399
(R)-carnitine,HMDB00062,C15025,29.94835486,29.50626533,-0.44208953,9.00E-06,18.28185182,0.000559978,29.95900511,29.97198647,29.92972987,29.93269797,29.52414175,29.53775605,29.45689818
O-acetylcarnitine,HMDB00201,C02571,27.54300902,26.21478906,-1.32821996,3.70E-07,34.77470416,7.29E-05,27.53607086,27.60927517,27.47888772,27.54780232,26.25996738,26.17135498,26.21304483
propionyl-carnitine,HMDB00824,C03017,25.13885902,23.98798598,-1.15087304,0.000132047,10.55197467,0.002281471,25.22785917,25.19156713,25.09017587,25.04583391,24.01149201,24.17549514,23.77697079
butyryl_carnitine,HMDB02013,C02862,27.56032558,26.51966481,-1.04066077,5.52E-05,12.63458889,0.001225786,27.62340876,27.66021104,27.46275291,27.49492961,26.4837969,26.65690203,26.4182955
3-Hydroxybutyrylcarnitine,HMDB13127,,23.22216119,21.65184016,-1.57032103,1.40E-06,26.6308322,0.000108528,23.24828585,23.29840202,23.16531031,23.17664659,21.74145574,21.66161192,21.55245283
succinyl_carnitine,,,19.80974537,19.17981108,-0.62993429,0.130518956,1.807337291,0.281884689,19.35621866,20.01709983,20.03256479,19.83309821,19.48646462,19.57481991,18.47814872
tiglyl_carnitine,HMDB02366,,20.80165106,19.73738918,-1.06426188,0.000213009,9.550811007,0.003194927,20.66288843,20.87600648,20.74098454,20.92672477,19.53393322,19.84989309,19.82834122
3-hydroxy-isovaleryl_carnitine,,,22.31853525,21.6508166,-0.66771865,4.66E-05,13.08061954,0.00111471,22.33542417,22.40699468,22.25685573,22.27486641,21.72569929,21.60622979,21.62052072
glutaryl_carnitine,HMDB13130,,22.28864202,22.05981263,-0.22882939,0.432850793,0.85252632,0.623224984,22.32667723,22.31306714,22.24227474,22.27254895,21.97856351,22.64960937,21.55126501
octenoyl_carnitine,,,17.91741657,16.12189214,-1.79552443,0.0164057,3.548955588,0.064487982,17.92742829,18.0669052,17.49989338,18.17543942,16.89723499,16.45147489,15.01696655
octanoyl_carnitine/L-Octanoylcarnitine,HMDB00791,C02838,20.23734428,19.07936178,-1.1579825,0.000256648,9.184722909,0.003194927,20.25952096,20.27744955,20.17786867,20.23453793,19.23461002,19.21904841,18.7844269
decenoyl_carnitine,,,15.06782343,13.4541087,-1.61371473,0.052217292,2.534898436,0.151602789,14.15686182,15.96196027,14.59208966,15.56038195,12.95629157,14.41141168,12.99462286
decanoyl_carnitine,HMDB06210,,19.47249883,18.00684078,-1.46565805,0.000256827,9.183380108,0.003194927,19.47067639,19.62736611,19.35954431,19.43240852,18.26137119,18.08304333,17.67610783
tetradecenoyl_carnitine,HMDB13329,,21.81182017,21.81033236,-0.00148781,0.99872338,0.001681505,0.99872338,22.82373316,20.95338347,22.90842681,20.56173722,20.64256499,22.13082104,22.65761105
pendtadenoyl_carnitine,,,20.5496448,19.85925286,-0.69039194,0.003547687,5.172424268,0.021217898,20.58259204,20.71637868,20.39479644,20.50481203,20.04197762,19.92240566,19.6133753
L-palmitoylcarnitine,HMDB00222,C02990,25.63613967,25.24646306,-0.38967661,0.050291489,2.565793047,0.151602789,25.58438109,25.8345531,25.7153826,25.41024189,25.34789801,25.3993577,24.99213347
3-hydroxyhexadecenoylcarnitine,HMDB13333,,22.8436278,22.77377046,-0.06985734,0.93290571,0.088511856,0.973602939,23.66875864,22.06034676,23.88261161,21.76279419,21.68356085,23.23436527,23.40338526
3-hydroxyhexadecanoylcarnitine,HMDB13336,,20.16513708,17.96267211,-2.20246497,2.06E-05,15.44751081,0.000713222,20.12591628,20.35974506,20.15479964,20.02008733,17.96112912,18.20185727,17.72502995
heptadecanoyl_carnitine,HMDB06210,,20.16151149,19.87712104,-0.28439045,0.082266496,2.16881037,0.209712132,20.16758946,20.28723392,20.06594451,20.12527807,19.93803922,20.08700025,19.60632365
stearoylcarnitine,HMDB00848,,21.6740773,22.27108201,0.59700471,0.003948699,-5.045400746,0.022741582,21.61723571,21.86792214,21.70990041,21.50125094,22.29401766,22.41333778,22.10589059
tetradecanoyl_carnitine(myristoyl_carnitine),HMDB05066,,24.51024657,23.61857738,-0.89166919,0.002053188,5.858814491,0.01401519,24.4607339,24.71951876,24.51017825,24.35055535,23.78546713,23.74130109,23.32896392
trans-Hexadec-2-enoyl_carnitine,HMDB06317,,23.9214444,22.8765217,-1.0449227,0.001072655,6.764490981,0.008339895,23.89270963,24.11229294,23.93284041,23.74793463,23.02896288,23.02633813,22.57426408
alpha-linolenyl_carnitine/gamma-linolenyl_carnitine,HMDB06319,,16.27569592,15.443674,-0.83202192,0.026208412,3.121478435,0.092315234,15.88749333,16.8463529,16.07533821,16.29359923,15.53027903,15.60151027,15.19923271
Linoleyl_carnitine/Linoelaidyl_carnitine,HMDB06469,,20.02932334,19.22676016,-0.80256318,0.00942799,4.0920375,0.042494273,19.9413643,20.24111512,19.95760746,19.97720649,19.44028196,19.4369149,18.80308363
Elaidic_carnitine/Vaccenyl_carnitine,HMDB06464,,25.02168792,24.64901197,-0.37267595,0.052715364,2.527110646,0.151602789,24.94758245,25.20560249,25.08078657,24.85278016,24.76683667,24.80717861,24.37302064
lauroyl_carnitine,HMDB02250,,21.2139909,20.01768579,-1.19630511,0.006404614,4.499139078,0.03212637,21.29488027,21.51359331,20.79116587,21.25632413,20.40071288,20.05969469,19.59264979
1-methylpyrrolinium,HMDB60253,C06178,22.725112,23.51975721,0.79464521,0.584440316,-0.584213937,0.757337242,23.94565492,19.28374511,23.91764328,23.7534047,23.44911017,23.69389702,23.41626445
glycine,HMDB00123,C00037,25.62607742,25.51058228,-0.11549514,0.005395556,4.68783385,0.028931344,25.65723093,25.63071483,25.64845638,25.56790752,25.51249015,25.49696487,25.52229181
sarcosine,HMDB00271,C00213,26.89127914,26.92736118,0.03608204,0.385984491,-0.949464916,0.577121041,26.87646571,26.91332816,26.92677875,26.84854395,26.87737486,26.90316742,27.00154127
