metabolite,HMDB,KEGG,geoMean_Tact,geoMean_Tfh,log2FC_TfhvsTact,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells
palmitate,HMDB00220,C00249,30.27285347,30.19803714,-0.07481633,0.83716251,0.216488522,0.91999131,30.29705491,29.92296835,30.94483372,29.92655688,29.74262274,30.52093057,30.3305581
omega_hydroxy_hexadecanoate_(n-C16:0),HMDB06294,,22.29612179,22.46732187,0.17120008,0.489064144,-0.746306008,0.673004198,22.77285134,22.13694449,22.4037082,21.87098311,22.40663579,22.48031139,22.51501843
11'-Carboxy-alpha-chromanol,HMDB12515,,22.08863754,22.04291922,-0.04571832,0.974565981,0.033508011,0.990787691,23.27431528,20.3551157,24.31302966,20.41208951,20.60091916,22.18610234,23.34173616
Hexadecanedioic_acid,HMDB00672,C19615,19.85286752,19.99497002,0.1421025,0.725253099,-0.371835443,0.846906294,20.41141935,19.63019368,20.05592919,19.31392787,19.62965587,19.75429353,20.60096067
margarate,HMDB02259,,25.2319284,25.10825997,-0.12366843,0.424136179,0.869908108,0.616384821,25.23569004,25.1821619,25.48950258,25.02035908,24.90929829,25.2190302,25.19645142
stearate,HMDB00827,C01530,29.29092992,29.20538134,-0.08554858,0.736760192,0.355444061,0.851793382,29.19610177,29.1488237,29.63069095,29.18810326,28.7582006,29.57278786,29.28515555
"8,11,14-Eicosatrienoic_acid_(DGLA)",HMDB02925,C03242,21.83573939,21.96908656,0.13334717,0.626821456,-0.517589436,0.786054326,22.04100385,21.86721984,21.71398082,21.72075304,22.34335229,22.16118626,21.40272113
Eicosenoic_acid,HMDB02231,C16526,23.02429929,23.36171952,0.33742023,0.040190677,-2.752501512,0.127543882,23.02987994,23.06013328,23.10421533,22.9029686,23.56421397,23.41026936,23.11067523
15(S)-Hydroxyeicosatrienoic_acid,HMDB05045,,18.42765133,18.51212223,0.0844709,0.796671479,-0.271758839,0.89520902,18.18681906,18.60808303,18.46659597,18.44910726,19.17094507,18.38829408,17.97712755
N-Acetylneuraminate_9-phosphate,HMDB06268,C06241,17.73880061,17.23726873,-0.50153188,0.439291154,0.8398521,0.626695178,17.48246624,18.4874028,17.66719699,17.3181364,17.08586415,16.26081619,18.36512586
(R)-S-lactoylglutathionate,HMDB01066,C03451,21.59637251,22.67163348,1.07526097,0.311310974,-1.125943843,0.504258921,22.92638037,21.47232679,22.09466919,19.8921137,23.70289524,22.9574937,21.35451149
UDP-alpha-D-xylose,HMDB01018,C00190,20.95964904,20.72879002,-0.23085902,0.576891469,0.596383997,0.750683041,21.27950201,21.11384467,20.3664762,21.07877327,21.08853085,21.09579121,20.00204801
ADP-ribose,HMDB01178,C00301,21.24741882,19.21347418,-2.03394464,0.127073006,1.828129906,0.276361573,19.95087397,21.59058395,21.51235707,21.93586029,17.2957203,18.99965263,21.34504962
UDP-D-glucuronate,HMDB00935,C00167,22.05831645,21.67950791,-0.37880854,0.727086754,0.369215777,0.846906294,23.05948168,22.19216149,20.52779544,22.45382718,22.64896285,22.62545804,19.76410285
GDP-D-mannose,HMDB01163,C00096,22.99266786,23.46979228,0.47712442,0.337750812,-1.059734477,0.530507588,23.49665679,23.13359497,22.1916431,23.14877656,23.78688151,23.87992862,22.74256672
NADH,HMDB01487,C00004,23.77961455,23.61861499,-0.16099956,0.89102686,0.144130119,0.961139648,24.66080253,23.68292181,23.62420851,23.15052533,26.06334519,22.90835252,21.88414725
NADPH,HMDB00221,C00005,20.79035525,15.40208645,-5.3882688,0.070788683,2.288423388,0.18816479,22.11125258,21.09667876,19.97811654,19.97537311,9.965784285,18.00260797,18.23786709
glycochenodeoxycholate,HMDB00637,C05466,21.05339912,20.66352678,-0.38987234,0.069543186,2.302637018,0.186447679,20.99984722,21.1781378,20.94901393,21.08659752,20.66376843,20.99150479,20.33530712
taurolithocholate,HMDB00722,C02592,18.76679721,18.33220146,-0.43459575,0.103153826,1.990729348,0.243036667,18.74393203,18.79943735,18.71007188,18.81374757,18.70266003,18.45973213,17.83421222
cholesterol_sulfate,HMDB00653,C18043,19.36338139,18.80661724,-0.55676415,0.293725199,1.172740757,0.489336818,19.97577623,19.49697115,18.72383868,19.25693948,19.63600854,18.60034189,18.18350129
C4H6O3(3),,,23.68856482,23.27451452,-0.4140503,0.017003262,3.515350088,0.064487982,23.75698075,23.72081254,23.76995808,23.50650792,23.12485125,23.49045283,23.20823949
C4H8O3(3),,,24.1414412,23.51164619,-0.62979501,0.000127892,10.62223683,0.002281471,24.21536587,24.17531617,24.13152125,24.04356149,23.50691639,23.59709736,23.43092483
5-oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate,HMDB00267,C01879ÊÊ,32.22650786,32.07006787,-0.15643999,0.195350298,1.494211934,0.381185861,32.27484658,32.2595724,32.19061313,32.18099932,32.12313664,32.24717799,31.83988899
itaconate/Mesaconate,HMDB02092,C00490,24.33221026,24.61697001,0.28475975,0.007278389,-4.361732897,0.034824293,24.44134712,24.35239621,24.27021109,24.26488663,24.64432739,24.68907084,24.51751181
L-4-hydroxyglutamate_semialdehyde,HMDB06556,C05938Ê,30.54660828,30.54923399,0.00262571,0.946528475,-0.070500164,0.977974604,30.53544283,30.59047781,30.57306953,30.48744293,30.55477977,30.59934565,30.49357655
C5H10O5(6),,,20.55892677,20.45634166,-0.10258511,0.656225013,0.472874598,0.803488107,20.71121849,20.71177137,20.36703377,20.44568345,20.55973559,20.7861927,20.02309669
L-arabinitol/xylitol/D-ribitol,,,23.58709987,24.09159681,0.50449694,0.001364116,-6.416827555,0.010347316,23.68694612,23.61574078,23.55108227,23.4946303,24.11225923,24.20717088,23.95536032
L-xylonate/L-lyxonate,HMDB60256,C05411,24.82457889,25.19523111,0.37065222,0.003494541,-5.190513576,0.021217898,24.78746224,24.92240371,24.80700376,24.78144586,25.19689322,25.31806828,25.07073184
2-deoxy-D-ribose_5-phosphate/2-Deoxy-D-ribose_1-phosphate,HMDB01031,C00673,21.32632993,21.13602562,-0.19030431,0.453057087,0.813226244,0.640457973,21.615246,21.14739924,21.23657594,21.30609854,21.43170035,21.31552162,20.66085489
ribose-phosphate,HMDB01548,C00117,23.44007539,23.29052425,-0.14955114,0.132651368,1.794748959,0.282565584,23.29305568,23.51547499,23.49569793,23.45607295,23.15323226,23.37636785,23.34197264
3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine),HMDB00491,C03465ÊÊ,26.3694615,24.98368236,-1.38577914,2.99E-05,14.31909263,0.000802549,26.38216412,26.53814249,26.21026808,26.34727131,24.9801171,25.09906931,24.87186066
L-fucose/L-Fuculose,HMDB00174,C01019,19.78127132,19.70854421,-0.07272711,0.664402259,0.460633724,0.807144932,20.03336507,19.93451069,19.63001753,19.52719198,19.72234333,19.84112995,19.56215934
N-Formimidoyl-L-glutamate,HMDB00854,C00439,23.07640098,23.01177608,-0.0646249,0.703251202,0.403509047,0.828451226,23.20800849,23.21335169,22.98700801,22.89723573,23.01982102,23.2757048,22.73980243
N-acetyl-L-aspartate/2-Amino-3-oxoadipate,HMDB00812,C01042,23.38608186,26.40742452,3.02134266,7.03E-07,-30.56779487,7.29E-05,23.45092173,23.37461225,23.50950487,23.20928859,26.46621616,26.49577613,26.26028128
3-Keto-beta-D-galactose/L-Gulonolactone,HMDB01385,C05394,19.38331325,20.23917979,0.85586654,0.004590005,-4.870715485,0.025526592,19.06699509,19.68422947,19.34626035,19.43576808,20.35555439,20.33848543,20.02349954
C6H12O6(5),,,28.51068655,29.0945445,0.58385795,0.000368194,-8.51158557,0.004241048,28.59475321,28.5698568,28.48770771,28.39042849,29.07339071,29.18909204,29.02115075
L-Iditol/D-glucitol/galactitol,,,25.06281242,25.07461013,0.01179771,0.89443173,-0.139591011,0.961139648,25.12759394,25.11004277,25.05743856,24.95617442,24.99578642,25.2445556,24.98348838
