GeneSymbol,mArray_stat,mArray_padj,mArray_log2FC_TCvsB6,RNAseq_log2FoldChange,RNAseq_stat,RNAseq_pvalue,RNAseq_padj,stat_annot
4933439K11Rik,7.3761,0.000983707,0.205146,1.286047373,3.551001469,0.000383768,0.001853365,co_high_FC0
Gzma,6.95239,0.000989503,1.23045,2.587313447,8.571659079,1.02E-17,7.34E-16,co_high_FC1.5
Mier3,-6.27583,0.000990839,-0.411169,0.245021168,2.535030812,0.011243744,0.033539372,
Cd109,5.96684,0.00101079,1.29872,0.567329392,2.472629011,0.013412329,0.038984713,co_high_FC0
Irf6,-6.27207,0.00103301,-0.299701,-1.721660608,-9.475423053,2.66E-21,2.84E-19,co_low_FC0
Gm14466,6.08048,0.00103804,0.934664,1.088429193,1.552716204,0.120490949,0.230788383,
Dmpk,5.88899,0.00106562,0.218886,2.066257197,5.846209807,5.03E-09,8.92E-08,co_high_FC0
Olfr373,6.63459,0.0010852,1.12107,5.559663324,3.797111376,0.000146392,0.000800205,co_high_FC1.5
Trpm6,7.03194,0.00111147,0.865277,1.245300006,7.053551756,1.74E-12,5.99E-11,co_high_FC1.5
Pak6,5.83225,0.0011198,0.189913,1.672435567,8.05844589,7.73E-16,4.55E-14,co_high_FC0
Eps8l1,-12.2224,0.00115274,-1.85479,-9.196679861,-14.03299643,9.79E-45,4.87E-42,co_low_FC1.5
Noxo1,5.81503,0.00115283,0.20315,0.164883736,0.707377549,0.479331885,0.636495128,
Gm7741,5.92028,0.00115769,0.197782,-0.098498768,-0.05774039,0.953955421,,
Gca,5.94584,0.00119209,0.663367,1.410841125,5.259987591,1.44E-07,1.78E-06,co_high_FC1.5
Igkv4-59,-6.17754,0.00124816,-3.81612,-2.596653341,-1.369207374,0.170934462,,
Cpt1c,23.8463,0.00125518,1.60551,4.240497857,12.94947684,2.37E-38,8.18E-36,co_high_FC1.5
Chrnb1,6.97425,0.00128092,0.131402,0.47633935,2.170214166,0.029990625,0.075989867,
Slc2a4rg-ps,6.06195,0.00129262,0.543194,0.776135931,6.163663194,7.11E-10,1.52E-08,co_high_FC0
Trps1,5.74075,0.00131691,0.248036,0.14320604,1.232102236,0.217910896,0.362949067,
Bub1b,-5.8558,0.00131821,-0.798061,-1.597505409,-5.846445863,5.02E-09,8.92E-08,co_low_FC1.5
Igkv4-72,-5.78092,0.00133083,-3.76884,-4.855585634,-1.534215526,0.124976639,0.237190214,
Igkv5-39,-5.97717,0.00133883,-4.51452,-3.731085336,-4.271383387,1.94E-05,0.00013584,co_low_FC1.5
Ak2,-5.7835,0.00134194,-0.240322,-0.094431515,-1.219686405,0.222583777,0.368801451,
Zfp14,6.27792,0.00138253,0.504537,1.263098447,8.04650507,8.52E-16,4.98E-14,co_high_FC0
Saal1,-5.59211,0.0013916,-0.25317,-0.082706954,-0.839536334,0.401168409,0.561826486,
Hsd17b7,5.91444,0.00149462,0.410311,0.993670632,5.495629245,3.89E-08,5.59E-07,co_high_FC0
Cx3cr1,5.58064,0.00150066,0.518573,0.08329332,0.224879385,0.822073107,0.892246393,
Akr1c13,5.78263,0.00155911,0.35156,0.278425673,1.802656456,0.071442185,0.152591605,
2410018L13Rik,6.66248,0.00161628,0.370698,5.223592409,5.277799386,1.31E-07,1.64E-06,co_high_FC0
Prkcz,5.61384,0.00163412,0.117969,0.136172343,1.327684913,0.18428222,0.320915331,
Foxj1,6.29468,0.00167287,0.37721,-0.284467304,-0.412581172,0.679913498,0.795687273,
Gm11824,-5.79828,0.00167557,-0.159124,1.208390608,0.559614787,0.575742217,,
Lamb3,-6.3122,0.00167988,-0.358387,-2.326370036,-11.79414123,4.18E-32,1.06E-29,co_low_FC0
Arid5b,6.41297,0.00174215,0.210987,0.577924883,3.685766238,0.000228016,0.001180368,co_high_FC0
Sec16b,-5.51858,0.00174523,-0.211179,-1.606955346,-8.808192556,1.27E-18,1.04E-16,co_low_FC0
Igkv4-57,-5.88028,0.00177155,-3.67082,-4.414323003,-2.739687818,0.006149757,0.020212878,co_low_FC1.5
Rad51b,-5.32653,0.00178498,-0.281492,-0.452536272,-0.425557998,0.670429952,0.788146591,
Arl6ip1,-5.93106,0.00178697,-0.229528,-0.353224974,-4.537519337,5.69E-06,4.62E-05,co_low_FC0
Jak3,5.91936,0.00179505,0.368482,1.064642095,19.04414431,7.35E-81,1.17E-77,co_high_FC0
Gm12963,5.32029,0.00180865,0.160969,0.198721252,0.25717999,0.79703983,0.876410532,
Ltk,5.33275,0.0018206,0.326649,4.561517947,4.210755223,2.55E-05,0.000172717,co_high_FC0
Rars,-5.53335,0.00182662,-0.270383,-0.304292637,-4.028436373,5.61E-05,0.000345139,co_low_FC0
Nnt,5.68408,0.00184207,0.408378,0.843925488,10.79071129,3.81E-27,6.44E-25,co_high_FC0
Slamf1,-5.38479,0.00186404,-0.399097,-0.336680154,-3.399065749,0.000676165,0.003048874,co_low_FC0
Spata13,5.27944,0.00186822,0.172594,0.213332206,3.638025227,0.000274737,0.001385703,co_high_FC0
Pepd,6.37517,0.00187016,0.205198,0.320923137,3.574910312,0.000350348,0.001711712,co_high_FC0
Desi2,-6.47573,0.0018796,-0.473544,-0.585477797,-7.615596802,2.62E-14,1.22E-12,co_low_FC0
Padi4,5.28804,0.00189214,0.877216,1.405931862,2.982304735,0.002860871,0.01055199,co_high_FC1.5
Spint1,5.54623,0.00189866,0.447896,1.313489366,4.142258603,3.44E-05,0.000225973,co_high_FC0
A930007I19Rik,5.26995,0.00191313,0.13175,0.289099727,0.699293486,0.484368637,0.640510082,
Scimp,5.32312,0.0019398,0.394562,0.899687062,0.824670101,0.40955891,0.569615593,
Olfr372,5.62137,0.00194689,1.31612,5.584003639,4.30251309,1.69E-05,0.000120575,co_high_FC1.5
Zdhhc21,5.50766,0.00195469,0.215193,0.599967245,5.826943545,5.65E-09,9.86E-08,co_high_FC0
Phlpp1,6.11503,0.00195719,0.275297,0.261656555,2.663667622,0.007729389,0.024567258,co_high_FC0
Camk1,5.22955,0.00196277,0.179025,0.257493306,0.873278538,0.382511276,0.543857955,
Arhgap24,5.61137,0.00198488,0.190158,0.279807736,0.817924144,0.413400503,0.573254463,
St3gal3,-5.75751,0.00198986,-0.306353,-0.42860179,-3.161231877,0.001571034,0.006288879,co_low_FC0
Rab4a,5.22985,0.00200705,0.842672,3.073491899,9.822533028,9.01E-23,1.11E-20,co_high_FC1.5
3110053B16Rik,5.23984,0.00201628,0.185748,0.306647213,1.291831988,0.196415335,0.336228898,
Cacna1d,5.20308,0.00203305,0.458005,0.449330792,2.066732784,0.03875934,0.093224007,
Sbsn,-5.26941,0.00203851,-0.476528,-4.757183425,-7.361460647,1.82E-13,7.33E-12,co_low_FC0
Gramd1a,5.26112,0.00204767,0.643732,1.755331515,15.20272666,3.39E-52,2.16E-49,co_high_FC1.5
F2rl2,-5.5992,0.00207786,-0.482245,-2.120470075,-2.34608621,0.018971719,0.051856031,
Cyr61,5.20924,0.00207895,0.187611,0.955740148,0.53011692,0.596030868,,
Ddc,-7.67122,0.00208674,-0.572924,-2.884297515,-9.495628031,2.19E-21,2.38E-19,co_low_FC0
Blmh,-5.86916,0.00208723,-0.122787,-0.52711921,-7.763230512,8.28E-15,4.21E-13,co_low_FC0
Nlrp1b,-5.5169,0.00208795,-0.233092,0.065625349,0.538013345,0.590567836,0.729066672,
Maged1,6.39644,0.00208942,0.352959,0.42875091,2.239025475,0.025154259,0.065717515,
Pgm1,-5.17081,0.00210745,-0.273138,-0.704999479,-6.522813506,6.90E-11,1.81E-09,co_low_FC0
5730507C01Rik,6.21267,0.00212199,0.325422,2.820067999,2.660834124,0.007794735,0.024750227,co_high_FC0
Qpctl,-5.16863,0.00212599,-0.56845,-0.84947314,-6.466618353,1.00E-10,2.56E-09,co_low_FC0
Ppt2,5.38916,0.0022021,0.161135,0.109411154,0.960948267,0.33657818,0.496779151,
Rpl31-ps23,-7.94659,0.00220828,-0.98536,-4.433195101,-4.711551061,2.46E-06,2.20E-05,co_low_FC1.5
Casc5,-5.21749,0.0022276,-0.580667,-0.712584536,-2.098904192,0.035825347,0.087597544,
Zfp82,-5.09463,0.0022385,-0.386701,-0.303213667,-0.843333863,0.399041749,0.559587108,
Ccnb1,-6.57298,0.0022715,-0.609954,-0.420515054,-1.402109066,0.16088268,0.288439274,
Mlh3,-5.18303,0.00235587,-0.185547,-0.108500356,-1.145419324,0.252035497,0.404302854,
Gm5560,-5.60667,0.00238119,-0.215305,-0.609685641,-0.494339745,0.62106626,0.751653136,
Ppap2a,-5.98314,0.00240115,-0.431856,-1.568901933,-5.303600409,1.14E-07,1.45E-06,co_low_FC0
Alms1-ps1,5.37477,0.0024207,0.463041,2.172565333,1.264740305,0.205964437,,
Arl6ip4,-5.01484,0.00243821,-0.141285,-0.431896763,-4.95626541,7.19E-07,7.33E-06,co_low_FC0
Zgrf1,-5.01954,0.00244134,-0.130888,0.052980874,0.303865819,0.76123012,0.85309255,
Olr1,5.37134,0.00244544,0.360618,-0.64982031,-0.953140552,0.340518862,0.500876011,
Rrm1,-5.98794,0.00246772,-0.330639,-0.302381838,-4.467921117,7.90E-06,6.17E-05,co_low_FC0
Fam71b,6.28622,0.00252382,0.685183,0.693663218,1.965253629,0.04938489,0.1131032,
Tead1,5.62988,0.00252449,0.617104,1.044848976,1.661242344,0.096664784,0.194577172,
Mir692-1,-5.01616,0.00254639,-0.422273,1.953369829,0.51667152,0.60538548,,
Mpg,-5.21201,0.00255453,-0.343898,-0.612611997,-5.840363071,5.21E-09,9.21E-08,co_low_FC0
Maml3,4.97649,0.0025623,0.188845,0.31593033,1.335520206,0.181706147,0.317855881,
Fanci,-5.78589,0.00260783,-0.293754,-0.434198175,-1.996123971,0.04592043,0.106611531,
Alms1,5.10303,0.00261775,0.35448,0.844199255,5.525040081,3.29E-08,4.83E-07,co_high_FC0
Cmss1,6.33507,0.00262765,0.391262,-0.061049539,-0.330445581,0.741063305,0.838764501,
Cmc1,-5.47614,0.00265521,-0.150279,-0.547502512,-4.302769321,1.69E-05,0.000120544,co_low_FC0
