,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Dcbld1,2.89355,2.92442,3.01788,3.00181,2.98037,2.94502,2.98768,3.19819
Myh14,5.8738,5.66643,5.81452,5.73494,5.85524,5.92292,5.97966,5.89371
Stpg1,4.39758,4.3666,4.31097,4.36345,4.28107,4.34327,4.33463,4.64626
Atf7ip2,2.80595,2.74773,2.67268,2.75144,2.69503,2.88108,2.6824,3.08451
Rpl39l,4.84947,4.83079,4.77684,5.01164,4.95095,4.74125,4.97772,5.39527
1810013L24Rik,6.03466,6.05287,5.71803,5.95724,6.14797,5.6437,5.88584,6.08804
Rcn1,6.37722,6.49015,6.60915,6.31673,6.35156,6.66488,6.31662,6.63795
Gm15292,3.86703,3.88313,3.86356,4.01784,4.0303,3.87269,4.05953,4.27041
Col3a1,5.14668,5.0486,5.12463,5.09427,5.10795,5.17556,5.18833,5.34132
Gm24345,1.8565,1.66442,1.78198,1.55782,1.61969,1.8319,1.6555,2.17251
Grip2,5.46165,5.31902,5.36965,5.47076,5.53515,5.42926,5.45608,5.56101
Slc23a1,4.29434,4.40369,4.39161,4.31713,4.37879,4.46892,4.56595,4.61353
Tbx2,5.57693,5.47413,5.49127,5.50237,5.53858,5.78326,5.70021,5.77984
Rpl22-ps1,9.39949,9.39219,9.34558,9.31793,9.30225,9.31532,9.30891,9.27904
Ftsj1,6.31406,6.22257,6.00988,6.29588,6.22236,6.16299,6.11779,6.17089
Rpl9,7.76468,7.81211,7.89221,7.90084,7.82789,7.77341,7.79769,7.97129
Cyp39a1,4.3997,4.44707,4.26418,4.61453,4.52546,4.53867,4.34604,4.86933
Gm8093,4.52739,4.64785,4.5661,4.43091,4.78828,4.55864,4.66855,4.63743
Gm24093,5.35705,5.63581,5.74764,5.75929,5.9334,5.6502,5.98296,5.86066
Prdx6b,3.55084,3.50542,3.40733,3.61106,3.60674,3.50209,3.27769,3.82357
Polg,7.22959,7.22863,7.27378,7.29398,7.24074,7.24731,7.28097,7.43641
Gm16381,2.8626,2.81876,3.2025,2.62714,2.85562,2.97436,2.88973,3.05568
Mir6400,4.39457,4.83631,4.70102,4.51837,4.53975,4.01851,4.39666,4.82635
Gm11687,10.4688,10.4521,10.5177,10.5222,10.4049,10.4204,10.4591,10.5249
D130040H23Rik,6.4289,6.55496,6.59687,6.9479,6.78005,6.57233,6.89863,7.0205
Grin2b,3.78892,3.67077,3.64636,3.66414,3.76178,3.78805,3.73237,3.98952
Tcam1,4.37691,4.33915,4.46849,4.39798,4.3814,4.34348,4.47177,4.72491
1700034I23Rik,4.43533,4.3534,4.25211,4.11896,4.38375,4.53217,4.27368,4.53474
n-R5s7,4.15946,4.18425,4.22728,3.94819,4.22911,4.37291,4.39309,4.70141
Gm24903,2.86684,2.73443,2.88183,2.77596,2.99626,3.01993,3.12218,3.1183
Akt2,7.88035,7.84543,7.75082,7.90194,7.78713,7.85393,7.76072,7.80598
4930522L14Rik,6.80023,6.87151,6.82446,6.73569,6.77378,6.80563,6.72507,6.85658
Gm13819,7.86721,7.9228,7.70196,7.55685,7.63032,7.84669,7.74357,7.67105
Gm13928,3.45482,3.16777,3.69565,3.06743,3.12826,3.17537,3.46212,3.28925
Atxn7,7.61301,7.7414,7.685,7.70773,7.74122,7.6299,7.60782,7.73874
Hilpda,5.1002,5.10788,5.10013,5.03893,5.15926,5.16172,5.00664,5.10453
Ighv1-24,4.27439,4.34111,5.18282,3.06408,2.84568,3.70164,3.48402,3.66965
Svep1,3.95003,3.91973,3.96912,3.945,3.96763,3.96732,4.01989,4.24486
Gm4631,8.08609,8.31632,8.18604,8.11736,8.1058,8.14522,8.11261,8.14964
Gm14297,2.63829,2.83672,3.04791,2.8256,2.95144,2.9146,2.75516,2.97915
Snord71,8.57021,8.65418,9.3289,8.74997,8.7294,8.50012,8.56279,8.80169
Gm10031,9.26945,9.37222,9.17596,9.15748,9.01862,9.09679,9.10886,9.34852
Gm12060,3.30626,3.1979,3.44592,3.0505,3.42927,3.56312,3.43424,3.67691
9530056K15Rik,3.82502,3.98069,4.04522,4.03302,3.74201,4.04825,4.34542,3.90933
Rac1,8.51735,8.56963,8.3818,8.64638,8.56573,8.49027,8.41103,8.55722
Gm20545,9.50541,9.64913,9.57929,9.52912,9.4318,9.5505,9.52251,9.64743
Gm15331,5.12179,5.07307,5.01857,5.12207,4.98657,5.12164,5.44221,5.0468
Gm20922,3.16068,3.22185,3.47479,3.18433,3.3036,3.22198,3.16854,3.26442
Oaf,5.46804,5.31447,5.31949,5.34915,5.39723,5.45264,5.34056,5.62592
Vmn2r88,2.08156,2.13982,2.12565,2.04103,2.24034,2.1806,2.15069,2.32131
Lilra6,3.96917,3.84769,3.8847,3.93158,3.93579,3.88614,3.98553,4.01922
Herc3,6.86458,6.97687,6.91877,6.91583,6.90451,6.86695,6.78832,6.92908
Cyp4b1,4.25406,4.12454,4.29423,4.19636,4.21566,4.30158,4.23773,4.48527
Tagln3,5.98527,5.91951,5.88914,5.96655,6.03478,6.03767,5.9792,6.36397
Gm11377,4.00831,3.97471,4.04659,4.30473,4.01646,4.19205,4.16594,4.48175
Cc2d2a,4.20216,4.10191,4.14974,4.35063,4.22839,4.76529,4.31642,4.60314
Olfr222,4.77769,4.44215,4.73318,4.72459,4.83341,4.65363,4.7143,4.64185
Npnt,6.10374,6.07504,6.05663,5.96769,6.00029,6.43077,6.28813,6.4845
Slc25a32,6.4164,6.55351,6.34519,6.48682,6.24458,6.36651,6.29845,6.61726
Olfr677,2.48985,2.76882,2.48971,2.67924,2.70972,2.62075,2.35795,2.63344
Nbas,6.68206,6.80389,6.77706,6.85005,6.7691,6.79827,6.74609,6.9555
Emilin2,4.92159,4.80522,4.97891,4.83154,4.77167,4.9353,5.00905,4.99367
Syn3,4.0024,3.82321,4.0162,4.0186,3.99716,3.8938,4.1313,4.06085
Gm8203,10.1754,10.1907,10.3047,10.1285,10.0067,10.0333,10.0828,10.2477
Olfr211,3.0563,3.09871,2.82057,3.07252,3.07547,2.87765,3.09011,2.74103
Cela3b,4.14254,4.28299,4.38082,4.33115,4.39936,4.19211,4.24518,4.43845
Rhox10,2.86065,3.09534,2.82704,3.04337,3.00014,3.04097,2.91059,3.26457
Gm14555,2.47483,2.20088,2.37257,2.41885,2.16842,2.63202,2.30854,2.982
Gm8809,4.26521,4.40603,4.39398,4.30997,4.48587,4.52802,4.40448,4.5284
Gm7969,4.56535,4.82062,5.12781,4.33641,4.62509,4.52236,4.7431,4.80984
Bmp3,3.97867,3.92102,4.16871,4.0832,4.14517,4.35282,4.13751,4.13109
Cerk,6.36925,6.58775,6.58484,6.82443,6.57327,6.72992,6.73283,6.8932
Mkl1,7.82928,7.75227,7.41096,7.97095,7.88454,7.53305,7.64316,7.58002
Tarm1,4.56831,4.71314,4.61752,4.46752,4.42225,4.86253,4.74485,4.86246
Pten,8.38497,8.52745,8.51481,8.39698,8.38145,8.2548,8.38539,8.5994
Rbms3,3.66657,3.63344,3.64434,3.55402,3.66674,3.75435,3.70553,3.79881
Olfr814,1.90001,1.79254,2.10761,1.92415,1.74684,1.93126,2.03888,2.2826
Olfr825,1.81503,1.88837,1.76147,2.00046,1.65687,1.92896,1.66158,1.76828
Gm23551,10.1679,10.4355,10.6967,10.1818,10.2842,10.1352,10.5227,10.3586
Vmn1r-ps5,2.20927,2.11308,2.33139,2.26542,2.26788,2.34092,2.30632,2.42704
Pik3c3,7.17224,7.32073,7.28237,7.28756,7.29748,7.27148,7.32808,7.54909
Gm10462,9.84558,9.93496,10.3836,6.12965,6.37732,6.3597,6.34244,6.79111
Gm10071,10.3996,10.3628,10.417,10.5739,10.3729,10.3831,10.1636,10.485
Gm14775,4.93983,4.89613,5.01049,4.85428,4.97008,4.87252,4.78238,4.92716
Zfp90,3.7185,3.9133,3.93489,3.8237,3.94227,3.7698,3.66326,3.84847
Gm15393,6.25112,6.39142,6.27387,6.33977,6.28622,6.28151,6.241,6.47423
Zmynd11,6.99627,7.19898,7.11159,7.1324,7.11386,6.93956,7.12075,7.26744
Gm25722,4.44063,4.54323,4.89137,4.13277,4.8368,4.70294,4.7263,4.98818
4732490B19Rik,3.68033,3.44931,3.50921,3.57301,3.59245,3.59427,3.53261,3.78101
1700019J19Rik,3.27813,3.13059,3.15196,3.15056,3.19504,3.17619,3.18725,3.42763
Gm15586,3.55229,3.57142,3.6616,3.54378,3.54991,3.73242,3.77767,3.73517
Gm10335,10.6283,10.6291,10.7389,10.6491,10.5814,10.6318,10.4878,10.8211
Mir7046,6.86511,6.46619,6.83931,6.71584,6.89041,7.08664,6.99081,7.08774
Gm24951,2.83984,3.42297,3.50326,3.01892,3.27487,3.39526,3.38273,3.66964
Mir679,4.49305,4.51898,4.58623,4.55371,4.53514,4.3281,4.73635,4.53852
Eri3,6.5645,6.49793,6.51661,6.64524,6.5894,6.54442,6.49388,6.57608
Gm12841,4.94175,4.81709,5.04362,4.72893,4.82758,4.6133,4.83812,5.06028
Ttc30b,2.12506,2.06634,2.03433,2.15653,2.1614,2.20749,2.08782,2.73999
B430202K04RIK,3.86563,3.79708,3.80339,3.70991,3.91319,4.02236,3.89874,3.99524
Rbm8a,7.87099,7.8825,7.7903,7.77712,7.69396,7.79413,7.61705,8.06379
Gm15060,2.72628,2.12928,2.57681,2.60232,2.60029,2.76757,2.42761,2.73783
Mir8117,7.67011,7.6641,8.04841,7.32967,7.49618,7.65709,7.91818,7.94052
LOC102634431,1.90161,1.86299,1.97942,2.231,2.18559,2.11669,1.96805,2.32158
Ncstn,8.06948,8.06165,7.65565,8.16494,8.01891,7.82472,7.74606,7.76559
Nhlh1,3.53261,3.33754,3.2741,3.52231,3.54065,3.60657,3.53875,3.84773
n-R5s54,5.2544,5.32976,5.28364,5.31304,5.20061,5.11698,5.06147,5.14718
Scube3,4.84479,4.70919,4.91305,4.8055,4.83668,4.8798,4.92381,5.00679
Olfml2a,4.33539,4.34184,4.27215,4.27303,4.19138,4.21034,4.32649,4.35195
Gm25175,1.84794,1.68595,1.62855,1.64571,1.79895,1.96495,1.80428,2.30587
Gm26336,2.58983,2.38278,2.2602,1.93452,2.18835,2.4849,2.26896,2.48292
Ifrd1,5.7838,5.91449,5.95341,5.81402,5.80505,5.79419,5.91215,6.05742
4921514A10Rik,6.22607,6.37794,6.49008,6.40071,6.22426,6.46062,6.45712,6.16245
Fbxo42,7.68474,7.69581,7.44383,7.81258,7.65367,7.58411,7.63297,7.67916
Vpreb2,5.44192,5.2526,5.24482,5.23803,5.33261,5.24563,5.40272,5.08977
2810405F15Rik,4.90229,4.71641,4.80353,4.68061,4.77106,4.76829,4.73667,5.3026
Gpr124,5.1045,4.97121,5.09197,6.04175,5.90918,5.60738,5.71546,5.94212
Carf,4.82447,4.92037,4.74615,4.91307,4.95876,4.76721,4.80171,5.07276
Slc15a1,3.70725,3.6437,3.7502,3.6675,3.6973,3.72098,3.73825,3.92876
Cdo1,5.03514,4.85239,5.10042,5.0413,4.83976,4.74635,4.83991,4.75794
Gm9085,4.64272,4.55605,4.59213,4.42072,4.70908,4.823,4.67697,4.74123
Gm15274,5.15477,5.27202,5.30651,5.0031,5.14844,5.01801,5.40277,5.01614
Aurkc,4.96667,4.89072,4.88853,4.85241,4.99366,4.86658,5.05297,5.20562
Vmn1r-ps51,2.84571,3.1512,2.77061,2.80353,2.89995,2.68318,2.82241,3.0804
Nlrp4b,2.39277,2.55353,2.22543,2.31701,2.4469,2.38697,2.24547,2.49816
Btf3,8.36607,8.25213,8.04106,8.33692,8.29516,8.23598,8.12325,8.21277
5330416C01Rik,3.43327,3.5108,3.52214,3.73935,3.83859,3.83065,3.78158,3.93826
Plod2,4.65437,4.69801,4.63624,4.71807,4.6905,5.09387,4.82262,5.03095
Gm22913,10.8372,11.0188,11.3292,10.8355,11.0142,10.9733,11.2216,11.1635
Olfr1143,2.48342,2.30881,2.51237,2.40388,2.34212,2.56545,2.43379,2.99131
Olfr1124,2.46067,2.36083,2.3672,2.28893,2.25858,2.79949,2.20527,2.53269
Vmn2r-ps82,2.41717,2.43841,2.18584,2.62058,2.37759,2.32441,2.5161,2.48902
Lgmn,6.05504,5.98982,6.11544,7.44674,7.32096,6.42746,7.16225,7.1966
Ankrd6,5.69958,5.60433,5.65818,5.525,5.58129,5.58872,5.55434,5.69129
Mir6363,4.26972,4.51056,4.3944,4.35771,4.42625,4.61699,4.3137,4.45349
Gm14146,3.29193,3.16852,3.3549,3.04335,3.18166,3.33941,3.34195,3.44548
1700034J05Rik,3.26442,3.27814,3.47735,3.49077,3.49467,3.23014,3.52798,3.66133
Smim6,4.50449,4.47967,4.51048,4.32892,4.84691,4.09135,4.41558,5.01448
Gm22009,10.3101,10.4771,10.7576,10.423,10.6346,10.4933,10.7502,11.073
Gm14743,2.31402,2.17074,2.23063,2.17898,2.38194,2.20516,2.26517,2.57429
Gm25628,2.51466,2.58628,2.91667,2.52486,2.43788,2.84048,2.73244,2.96723
G630030J09Rik,3.77174,3.4415,3.5816,4.07835,4.15237,3.86131,4.11003,4.22423
Acad12,4.77104,4.82243,4.82887,4.88431,4.82427,4.75886,4.75673,4.94293
Vmn1r232,2.13113,2.16759,1.9465,2.20765,2.29361,2.18405,2.04392,2.74996
Lars2,6.56922,6.45966,6.54036,6.53615,6.52729,6.50108,6.42611,6.68539
Rtf1,7.05806,7.03802,7.0072,7.12983,7.12408,6.95204,6.96048,7.06259
Itpka,4.79901,4.75662,4.58011,4.60051,4.72208,4.79037,4.92325,4.87331
4931403M11Rik,3.31534,3.53786,3.3409,3.44129,3.78545,3.34489,3.44891,3.64445
Gm10155,12.3617,12.3517,12.3072,12.3778,12.3935,12.2892,12.3064,12.3626
Aldoart1,4.48792,4.6736,4.55468,4.53148,4.50951,4.78441,4.76407,4.6582
Zdhhc8,6.57563,6.53763,6.18927,6.82215,6.73583,6.78635,6.45141,6.65573
Entpd2,4.98843,4.83926,4.92092,4.82697,4.97764,5.05258,4.98748,5.22859
Fam78b,4.70656,4.56726,4.51317,4.59885,4.71938,4.51222,4.60513,4.94082
Gm21083,3.69839,3.48992,3.8905,3.83207,3.65087,3.837,3.98262,3.98629
Speer4d,3.67232,3.43063,3.69295,3.60868,3.70382,3.82824,3.85421,3.95161
Gm12117,6.78379,6.84154,6.69828,6.91817,6.8358,6.6307,7.07028,6.90569
Tspan2os,4.0689,4.1203,3.81286,3.91685,4.00825,4.08815,4.0846,4.2973
Xkrx,3.5658,3.37894,3.5659,4.15444,3.70746,3.49333,3.57806,3.88276
Gm23641,2.30878,2.38122,2.26257,2.40193,2.49489,2.46873,2.36383,2.57232
Gm24532,2.47616,2.48928,2.32206,2.45624,2.36641,2.54286,2.71927,2.29537
Gm21708,2.34984,2.40992,2.24169,2.30372,2.38613,2.38223,2.34468,2.61219
Ankk1,4.32281,4.32932,4.22803,4.26275,4.27602,4.30848,4.46307,4.65277
Acss2,5.27034,5.41233,5.17924,5.0679,5.20489,4.88976,4.96985,5.05752
Trdj1,5.04274,5.06602,4.75207,5.07127,4.70866,5.06614,4.61776,4.82486
Olfr181,2.02564,2.01284,1.85986,1.87178,2.04338,2.01922,2.04476,2.45543
Gm14334,2.53656,2.49775,2.55391,2.49991,2.56894,2.37318,2.53631,2.7175
Rbpms,4.44669,4.51805,4.40912,4.42579,4.43117,4.32432,4.56672,4.68361
Gm26145,3.662,3.44044,3.2345,3.60882,3.59164,3.55306,3.59267,3.78713
Gm25991,1.99251,1.934,2.11109,1.92259,2.06414,1.99872,1.96163,1.99531
Cth,3.45213,3.37044,3.38165,3.50581,3.564,3.46117,3.57765,3.74866
mmu-mir-6989,8.37501,8.4097,8.57312,8.45875,8.66138,8.36806,8.44732,8.43091
Tmem30a,7.70582,7.80575,7.92411,7.68091,7.65538,7.63859,7.64116,7.86132
Gm2639,3.21347,3.28612,3.17967,3.28567,3.20891,3.48062,3.29427,3.35368
C1rb,4.2162,4.19765,4.19694,4.02896,4.06939,4.41221,4.19002,4.05916
Gm13106,3.35981,3.70532,3.18792,3.50496,3.45576,3.45276,3.6182,3.02959
Cort,4.81968,4.86966,4.92049,4.88161,5.07835,4.82618,5.12088,5.21359
4933416I08Rik,3.5591,3.3422,3.53841,3.53043,3.40722,3.47534,3.51748,3.60805
Gm22544,2.4125,2.15085,2.35694,2.17233,2.42772,2.64108,2.55286,2.56873
Gm22509,5.57131,5.38621,6.03072,5.25649,5.58776,5.90029,6.02522,6.03196
Arrdc3,6.09049,6.14166,6.16786,6.3282,6.43611,6.14412,6.10957,6.39468
Mycbpap,4.47978,4.32791,4.46901,4.28694,4.44496,4.5062,4.52082,4.70249
2810047C21Rik1,4.907,5.13493,5.18026,4.5006,4.63689,4.75577,4.62629,4.77797
Gm23113,1.75574,1.78773,2.0363,1.5952,1.75204,1.83642,1.61131,2.1711
AI606181,6.12202,6.28912,5.97449,6.02658,6.11081,6.09775,5.77654,6.0012
Rad51b,4.85966,4.75644,4.83132,4.61308,4.44861,4.45061,4.50143,4.65784
Ccdc171,5.59206,5.64793,5.77472,5.80504,5.74552,5.62918,5.62549,5.97001
Ccpg1,7.08833,7.12718,7.12459,7.00206,6.92607,6.95606,7.01082,7.12172
Gm13454,1.89594,1.87076,1.90036,2.03861,1.95724,1.95267,1.9077,2.43913
Fam213a,5.62609,5.72025,5.53364,5.85483,5.66946,5.87042,5.72293,5.8864
Gm13834,6.31488,6.42939,6.68914,6.49403,6.50375,6.15725,6.69871,6.42359
Gm22472,4.36629,4.21295,4.44068,4.45948,4.60507,4.40452,4.63768,4.77181
Foxo4,6.6175,6.5204,6.58888,6.73336,6.56987,6.51018,6.58482,6.76684
Tlr13,2.11794,2.22378,2.1162,2.23505,2.26852,2.39438,2.09031,2.11831
Gm14856,4.58459,4.69876,4.45094,4.42754,4.45241,4.33974,4.51966,4.64439
4933408N05Rik,5.45625,5.59165,5.48534,5.50787,5.51006,5.52831,5.50597,5.8952
Galns,6.90749,6.98319,6.8699,6.97723,6.86,7.00208,6.79999,6.85324
Rgs2,6.72007,7.60872,7.84347,8.04886,7.81844,7.29345,8.40722,8.36599
Zfp389,2.32277,2.40767,2.28438,2.31137,2.21924,2.33694,2.27021,2.51305
Fam20c,5.1062,5.08997,5.23209,5.10698,4.95902,5.20899,5.11824,5.29078
Gm24060,5.9086,5.90945,6.02468,6.10648,6.19016,5.86978,6.24426,6.14842
Npsr1,3.69152,3.72063,3.77612,3.55324,3.68811,3.92627,3.83219,3.83354
Gm23757,2.24611,2.44929,2.27925,2.21179,2.55984,2.42589,2.36564,2.84385
Mir3967,2.60782,2.90633,2.76274,2.41129,2.7548,2.58746,2.69307,2.51651
Zfp74,5.46118,5.49861,5.41595,5.98468,5.90389,5.82144,5.679,5.81863
Olfr1465,2.51805,2.47776,2.26714,2.16187,2.57388,2.50577,2.21327,2.58957
Gm24721,7.0135,7.02389,7.31527,6.74045,6.84087,7.04577,6.91205,7.04049
Olfr1056,2.39117,2.40851,2.41772,2.4223,2.39885,2.45668,2.26654,2.62416
Olfr1211,2.43327,2.56195,2.64017,2.61206,2.66953,2.66654,2.64731,2.9821
Gdap1,3.08,2.96839,2.98422,3.01781,3.03225,3.18585,3.10536,3.50416
Vamp8,7.55287,7.44788,7.5039,7.56306,7.6096,7.68221,7.53355,7.92492
Kcmf1,7.84392,7.96388,7.94055,7.91393,7.87465,7.776,7.79827,7.95779
Mir669b,3.28168,2.5551,2.43203,1.18079,1.38445,2.49672,1.8172,2.26086
Klf8,4.88412,4.69135,4.86311,4.93038,4.94678,5.03666,4.95745,4.94941
Nvl,7.52956,7.48215,7.49723,7.58207,7.49393,7.37722,7.42897,7.54153
4931431C16Rik,4.74471,4.86417,5.01224,5.00096,5.03259,5.15292,4.90803,4.84084
Wdr46,7.88736,7.81162,7.43326,8.13959,7.91461,7.80334,7.62561,7.43638
Kank3,4.74605,4.72824,4.80641,4.87157,4.73177,4.77269,4.84564,4.79158
Ubl7,8.89187,8.79992,8.27089,9.26336,9.18184,8.84055,8.63264,8.64595
Sema7a,6.23281,6.30658,6.21242,6.04128,5.65143,6.28822,5.97895,6.09879
Snord116,4.2779,4.09546,4.52979,4.03503,4.14757,4.38284,4.40034,4.27368
1700001K23Rik,3.87397,4.03389,3.88607,3.84555,3.96177,3.96766,4.15918,3.89882
Mbip,6.49531,6.70457,6.76743,6.5055,6.6724,6.49034,6.47337,6.80773
Vmn2r-ps20,4.94494,4.70888,5.02935,4.76722,4.84844,4.76882,4.63784,5.33219
Gm23422,4.00758,4.2273,4.48316,3.78693,4.09217,4.27855,4.42925,4.677
Gm10377,2.92975,2.66745,2.80201,2.73795,3.04927,2.78945,2.82685,3.10021
Zfp422,6.87363,6.53908,6.76025,6.85466,6.73861,6.85909,6.72242,6.99777
Afap1l1,4.89294,4.68405,4.84265,4.83956,4.81041,4.89868,4.96477,5.07844
Grpel2,6.56322,6.77718,6.55375,6.62177,6.54921,6.57882,6.45575,6.67355
Psmb3,7.45784,7.34881,7.33948,7.22138,7.23725,7.41167,7.23602,7.55817
Gm23112,2.67993,2.65077,2.7245,2.40963,2.5209,2.77063,2.55913,2.9513
4930515L19Rik,2.67943,2.72257,2.6839,2.6835,2.70851,3.00648,2.63175,3.0311
Btc,4.57753,4.52617,4.65736,4.78011,4.6915,4.60644,4.74331,4.73269
Slco2a1,4.49802,4.41908,4.37076,4.60868,4.55797,4.58986,4.61163,4.74506
Gm16252,4.31189,4.372,4.43939,4.60808,4.51498,4.11769,4.58407,4.75893
Caps2,3.49135,3.49578,3.51622,3.36832,3.73347,3.64098,3.52905,3.75919
Mir299b,4.70093,4.80092,4.91926,4.87495,4.94579,4.78166,4.88186,5.10931
Gm21104,4.80118,4.70971,4.77111,4.73194,4.74508,4.73197,5.03236,4.97202
Gm10592,3.56205,3.86247,3.62422,3.58796,3.7301,3.71194,3.80838,4.08994
Gm10594,3.73893,3.92871,3.7827,4.02344,3.97743,3.66113,4.00736,3.97568
Gm14172,3.67914,3.50793,3.84726,3.46393,3.39902,3.7548,3.65254,4.08075
Gm16316,4.19124,4.32922,4.22363,4.03304,4.4518,4.08363,4.34967,4.55183
Wfdc12,5.19705,5.03368,5.09901,5.36261,5.32508,5.32529,5.15428,5.36387
Fto,6.03653,6.0475,5.96259,6.19881,6.15335,6.1374,6.07109,6.04504
Pm20d1,3.54046,3.4941,3.6093,3.67355,3.45671,3.58125,3.6587,3.6915
Igkv4-61,8.94186,9.59066,10.6354,5.27747,4.81629,7.08035,6.55288,7.65513
Znrf3,5.75627,5.91677,5.98655,6.20656,6.26446,5.54032,5.93182,6.13957
Kifc2,6.42386,6.40965,6.28393,6.5328,6.59967,6.36427,6.50037,6.60302
Hsf1,8.28134,8.22127,7.92891,8.50335,8.4857,8.06574,8.11579,8.22331
Vstm2b,5.05196,5.10561,5.08451,5.08875,5.16089,5.17664,5.1905,5.31614
Chtf18,5.856,5.74368,5.77289,5.7866,5.63109,5.68444,5.7726,5.86112
4931406C07Rik,4.84085,4.91445,4.89886,4.73733,4.837,4.83526,4.65531,4.89388
Mavs,7.35739,7.29155,6.9549,7.44132,7.35141,7.27507,7.2511,7.39709
Gm7734,5.14237,5.26063,4.84036,5.29636,5.20571,5.44808,5.47661,5.48254
Gm5602,6.06512,6.28732,6.13057,5.9846,6.10678,6.20003,6.24523,6.18911
Olfr448,3.10414,2.77802,3.0872,3.14556,2.88428,3.08191,2.99667,3.37035
Haus6,6.73728,6.79922,6.61203,6.66549,6.57545,6.4141,6.47844,6.70002
Gm12703,3.49842,3.50274,3.91412,4.98462,3.85936,3.86075,4.52637,4.51197
Sdccag8,6.17497,6.0864,6.24905,6.09514,6.09737,6.04789,6.02923,6.24254
4831440E17Rik,4.11018,4.26271,4.00209,4.08378,4.19017,4.18318,4.09813,4.29958
1700010K24Rik,3.60719,3.74524,3.54223,3.43609,3.76618,3.80974,3.8226,3.50854
Gm5060,2.8758,2.55355,2.84125,2.87634,2.41521,2.86899,3.20073,3.39557
Gm2310,7.3879,7.58506,7.71868,7.50944,7.60528,7.4773,7.74441,7.58109
Gm21245,3.25773,3.03666,3.34969,3.07398,3.05262,3.43253,3.1846,3.19717
Hnf4a,5.1514,5.12489,5.20016,5.1368,5.20783,5.33633,5.2956,5.40878
Gm25881,2.41913,2.49094,2.43818,2.04517,2.36093,2.65029,2.80316,2.8538
Pabpc1l,5.15231,4.99399,5.06507,5.13104,5.05399,5.13722,5.19321,5.23087
Emx1,5.06681,5.01745,4.86531,4.86403,4.92231,5.16612,5.04623,4.97044
Vmn1r-ps29,2.10266,2.33091,2.23472,2.42354,2.37455,2.32597,2.45101,2.50784
Gja4,5.77218,5.58054,5.56453,5.60049,5.64865,5.62527,5.82675,6.07614
Krtap16-1,3.06025,3.43488,3.07679,3.06411,3.16344,3.05222,3.24011,3.20302
Hspa13,6.38563,6.47239,6.45306,6.34337,6.29244,6.40411,6.36929,6.60337
Tspan7,4.56849,4.4535,4.54992,4.29431,4.53567,4.71946,4.62534,4.79285
Gm5347,2.23748,2.11422,2.08798,2.18297,2.16334,2.43797,2.15514,2.39243
Mfsd9,4.49362,4.32944,4.26284,4.44752,4.47282,4.39709,4.45325,4.46314
Gm22199,3.0343,2.70751,2.61781,2.57499,2.51205,2.95892,2.79747,3.08132
Tmem165,7.39094,7.37302,7.41872,7.27362,7.33655,7.37821,7.2769,7.54813
Gm7467,5.2191,4.89691,5.20557,5.3309,5.24877,5.54143,5.4352,5.53716
Gm12333,6.98993,7.06888,7.17744,7.05647,6.81897,7.06389,7.29757,7.19661
Gm22733,1.82608,2.02487,2.09534,2.117,2.06857,1.88357,1.90524,1.86067
Osbp,7.94331,8.10264,7.9986,8.00236,7.92979,8.00788,7.85691,8.14106
Gm10128,8.3613,8.54837,8.92034,8.05395,8.4124,7.76585,8.00686,8.16033
Gm23552,1.82408,1.85377,1.88444,1.8028,1.73978,1.8384,1.90291,2.04525
Tmem88b,3.66815,3.8074,3.71031,3.75712,3.66137,3.74489,3.72237,4.06332
Fmr1nb,3.20072,3.1601,3.17076,3.22362,3.28862,3.25635,2.99345,3.38315
Wsb2,7.25513,7.36929,7.22662,7.26185,7.24987,7.39705,7.15762,7.29487
Hrk,6.02805,5.81416,5.92667,5.97595,6.18301,6.13375,6.18799,6.18174
Med24,7.33281,7.32729,7.17605,7.36162,7.30893,7.22996,7.13628,7.2717
A330009N23Rik,5.26706,4.95496,5.08011,5.15183,5.17975,5.33379,5.22875,5.19347
Sult2a4,2.10605,2.2503,2.31018,2.10839,2.23545,2.20996,2.08331,2.4166
Sfr1,8.32075,8.25713,8.16126,8.30737,8.17471,8.30247,8.09414,8.04763
Sgip1,3.79569,3.5468,3.64588,3.63822,3.52923,3.61801,3.69215,3.85537
Gm13535,3.14825,2.94468,2.9718,3.2407,2.91952,3.08473,3.02164,3.35358
Ndrg2,6.85711,6.86954,6.793,6.89469,6.7411,6.81356,6.66239,6.8688
4933425B07Rik,3.72808,3.86655,3.67305,3.79076,3.76829,3.94955,4.04077,3.79731
Gm23914,8.79357,8.68239,9.00766,8.7406,9.00485,8.66409,8.97595,8.82885
Mir6920,4.66629,4.67675,4.59269,5.07872,4.65328,4.63089,4.6388,4.76724
9530068E07Rik,6.34129,6.2672,6.12792,6.36302,6.20064,6.3466,6.30523,6.29948
Mir3093,6.05982,5.90429,5.92603,6.01374,5.96386,6.10525,5.99901,6.05407
Gm4992,8.36557,8.60612,8.48252,8.26703,8.5275,8.41282,8.18281,8.66694
LOC102634034,6.17423,6.23339,6.48645,6.08351,6.20168,6.24152,6.2594,6.47205
Gm3952,2.48097,2.40473,2.40088,2.37333,2.42934,2.48169,2.35935,2.67271
Gm22358,6.53991,6.52767,6.53963,6.60791,6.67026,5.85423,5.95741,5.98731
