,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Gm15309,10.1126,10.1528,10.1721,10.1204,10.2506,10.1091,10.2083,10.2506
Gm15304,3.15128,3.36992,3.40121,3.31567,3.19289,3.25468,3.34978,3.51898
Dnah7c,3.24206,3.07241,3.20125,3.17792,3.22454,3.16877,3.12725,3.3054
Rnft1,7.63681,7.77359,7.75653,7.79273,7.6274,7.67267,7.76149,7.9506
Gm5752,2.88582,2.8974,2.96752,2.70003,2.9983,2.98706,2.88307,3.00163
Gm3104,3.32534,3.45816,3.389,3.14619,3.40272,3.39268,3.45461,3.64916
1700022K14Rik,4.93117,4.83237,4.96278,5.04087,4.79947,5.13665,5.06279,5.15781
Gm15794,6.71633,6.51932,6.72588,6.43055,6.52964,6.54078,6.50204,6.70765
Supt3,6.4446,6.52437,6.7041,6.63286,6.48321,6.63216,6.72836,6.60371
Gm10497,6.21001,6.20202,6.32523,6.25598,6.19704,6.45172,6.33172,6.39282
Mns1,6.53697,6.39466,6.46091,6.47934,6.34353,6.40645,6.41042,6.53044
Gm25433,3.2628,3.26906,3.04863,3.21353,3.35873,3.04218,3.16711,3.17455
Igf1,3.54169,3.54708,3.5928,3.49041,3.45692,3.64648,3.55363,3.68
Gm22652,2.27071,2.45046,2.34059,2.57791,2.12729,2.48016,2.49787,2.46883
4930473H19Rik,4.87567,4.80226,4.98536,5.07593,4.92696,5.02843,5.07932,5.08347
Gm24823,2.17251,2.12992,2.10915,2.06013,2.25922,2.016,2.18371,2.4186
Pbx4,6.02836,6.09512,6.02399,5.6872,5.66563,5.90518,5.85109,6.06968
Gm15376,3.33337,3.35309,3.19689,3.1369,3.22289,3.37025,3.37662,3.7251
Art4,3.94242,4.01617,3.76091,3.96101,4.1166,4.13931,3.87582,4.36251
Mir6932,5.08247,5.74741,5.54513,5.42646,5.49371,5.11764,5.62323,5.85714
Gm11718,3.39176,3.13385,3.2891,3.01938,3.04024,3.11313,3.01291,3.39844
2610316D01Rik,2.68299,2.62998,2.69415,2.73171,2.69021,2.59678,2.65563,2.86884
F830104G03Rik,2.71142,2.74566,2.50506,2.72395,2.46415,2.53387,2.91848,2.81773
Gm23945,4.08043,3.76901,3.97891,3.93889,4.04305,3.98785,3.99314,4.04214
1700022A22Rik,3.16846,2.93745,3.15454,3.08866,3.08644,3.09639,3.11687,3.12988
Pgam5,7.06307,7.11301,6.95847,6.98489,6.8971,6.97095,6.84292,6.99695
Gm13827,7.08805,7.05427,7.11879,7.10383,7.06006,7.06903,6.66489,6.97535
Gm22008,5.19905,5.24448,5.45311,5.24674,5.43036,5.16042,5.48968,5.4088
Tmem194,6.22138,6.26766,6.16893,6.27702,6.1609,6.13361,6.09801,6.33086
Gm25423,4.37536,3.89494,4.07783,4.08699,4.07105,4.49555,4.32537,4.35897
Tspan33,5.37641,5.32424,5.21304,5.38321,5.33063,5.45649,5.50597,5.50314
Ighv1-53,9.09582,10.9123,11.6193,7.40943,6.67836,7.55542,8.11215,7.49535
Ighv1-52,8.43384,9.67451,10.7962,5.47817,5.21154,7.75078,6.90323,6.19324
AI481877,2.76081,2.72447,2.71131,2.73258,2.83004,2.7621,2.72119,2.86987
Gm3890,7.65757,7.72136,7.45052,7.72457,7.69815,7.67592,7.68131,7.58852
Gm14405,6.34849,6.66009,6.48871,6.4706,6.46968,6.52771,6.56983,6.50416
Gm3027,2.90682,3.07794,2.73526,2.55089,2.8822,2.79474,2.91257,3.23544
Bola1,5.15072,5.20114,4.96869,5.16273,5.32019,5.26485,5.04533,5.3053
Gm26553,4.04354,4.03704,4.17251,3.93615,3.95311,4.03664,4.12039,4.34066
Mir361,3.08439,3.09895,3.3648,3.16696,3.42209,3.0764,3.17924,3.05443
Zdhhc25,3.57079,3.84939,3.95171,3.79153,3.9593,3.96048,3.79025,3.95528
Tecpr1,7.31411,7.30332,7.27106,7.38726,7.32202,7.15791,7.21433,7.34566
Gm5227,2.85028,2.5908,2.52759,2.60462,2.79869,2.75886,2.70524,2.93685
Skiv2l-ps1,6.86135,6.83671,6.82283,6.66855,6.75248,6.73283,7.0529,6.8778
Rnf26,6.05569,6.0985,6.05205,6.08157,6.12458,6.05759,6.08718,6.06998
Gm23883,5.84986,5.88179,6.12269,6.09159,6.11202,6.11977,6.23505,6.06442
Rpl13a,9.41085,9.37542,9.39608,9.36786,9.30578,9.30128,9.14151,9.29783
Tspan1,2.98065,3.19895,3.22148,3.21998,3.19046,3.25224,3.16391,3.27139
Defb38,2.2372,2.4774,2.56158,2.17664,2.48154,2.38954,2.31745,2.7228
Defb44-ps,3.17467,2.97324,3.03761,2.97101,2.98851,2.90415,2.65353,3.3161
Crisp4,2.66265,2.73765,2.51978,2.70324,2.63428,2.756,2.69136,3.02008
Npbwr1,4.0605,4.27562,4.15184,4.23389,4.15035,4.20424,4.30401,4.19602
Serpinb6b,6.39642,6.39981,6.30561,6.26948,6.19885,6.11617,6.14355,6.52989
4930412M03Rik,4.52981,4.74353,4.54156,4.64382,4.57334,4.63061,4.6243,4.53756
Mir1895,4.73201,4.56444,4.70626,4.63026,4.77107,4.86434,4.70604,5.00927
Clca5,2.96347,2.98326,2.91493,2.99942,2.97059,3.07428,3.01778,3.24912
Smpd1,6.13092,6.27263,6.13912,6.2231,6.06675,6.08031,6.01638,6.16922
Mir6984,4.04,4.08958,4.11247,3.79168,4.10648,4.16373,3.90074,4.57234
Gm5432,5.12233,5.11513,5.10218,5.23326,5.30369,5.24561,5.2173,5.31379
Gm11919,2.08523,2.1337,2.391,2.18301,2.50617,2.2877,2.25289,2.52578
Gm25045,2.57915,2.51156,2.6409,2.64263,2.63915,3.04019,2.81488,3.10161
Gm7866,7.43072,7.39809,7.43365,7.40386,7.45925,7.40102,7.42755,7.52458
Stab2,4.08684,4.00735,4.10909,4.05691,4.05403,4.14701,4.14062,4.27025
Gm14401,7.41323,7.54627,7.5866,7.41396,7.51709,7.54847,7.58187,7.66015
Scel,3.58406,3.4299,3.48245,3.59098,3.56942,3.56033,3.50076,3.76182
Gm9946,3.3883,3.38837,3.40903,3.17504,3.53879,3.67821,3.33088,3.66278
Cda,5.01573,4.99277,4.93932,5.12899,5.18143,5.07912,5.09215,5.30887
Mcts1,5.56232,5.72988,5.56828,5.62914,5.65485,5.41469,5.44526,5.5854
Mau2,8.38891,8.56395,8.41039,8.51348,8.38616,8.32082,8.33068,8.55651
Myl1,3.91631,3.85543,3.85588,3.95739,3.80506,3.99673,3.95817,4.16941
Cdc7,6.67208,6.6868,6.62798,6.57346,6.52299,6.36245,6.37894,6.86156
4930445N06Rik,3.04914,2.72741,2.79285,2.61204,2.86094,3.10885,2.77216,3.21067
Gm18284,6.83385,6.98325,6.84582,6.88344,6.85883,6.73707,6.79393,7.08304
Gm15928,5.15117,4.75406,4.97388,4.84894,4.79353,4.94967,5.12447,5.12841
4930404H11Rik,3.04403,3.27223,3.32542,3.15094,3.30726,3.20085,3.37224,3.72517
Gm11482,3.45021,3.27458,3.6055,3.14979,3.36693,3.3985,3.50875,3.6003
Atp5d,4.88998,5.13774,5.0567,5.31222,5.12507,4.76057,5.28452,5.43322
Sh3bp5,6.5985,6.63048,6.49325,6.61862,6.62066,6.55434,6.40707,6.50045
Tfpi2,3.03883,3.20169,3.20382,3.20493,3.198,3.02674,3.21344,3.43052
Gm20714,2.69974,2.683,2.58138,2.6089,2.70044,2.82975,2.76743,2.93341
Lcp2,10.4501,10.5418,10.48,10.562,10.5645,10.3286,10.4993,10.4979
Gm8298,2.90658,2.65193,2.82262,2.66002,2.75551,2.73921,2.75985,2.77867
Gm16209,9.11866,9.15596,9.10757,9.08148,8.94716,9.03877,8.93423,9.15077
Gm25496,2.05772,1.72372,1.97891,1.86714,1.93004,2.13121,1.95117,2.17645
n-R5s178,4.49615,4.42709,4.5818,4.51792,4.49741,4.50085,4.55428,5.00428
Gm11690,2.84934,2.52175,2.87359,2.87598,2.5286,2.84779,2.86726,2.89738
Txlnb,6.5614,6.51775,6.69724,6.59724,6.70111,6.52119,6.52113,6.68199
