Unnamed: 0,stat
Rbm44,4.3351
Rpl31-ps1,-5.184
Rybp,5.28149
4930509K18Rik,4.2847
Lsr,-7.36071
Opa3,-4.87209
Igkv4-56,-5.39881
Gpr34,-4.42187
Gm10837,-4.64834
Tnni3,4.2453
Tac1,4.2773
Ky,4.36018
Gm16033,-4.23636
Olfr1090,4.52005
Trip13,-4.93009
Mapre2,5.35278
Sik2,4.56914
Gm24871,-5.69659
Gm26831,4.27574
Srp54a,-4.51284
Hist1h2ah,-4.21889
Igkv4-78,-4.83179
Per2,4.60986
Gm10747,5.19049
Capza1,-4.42308
LOC100862151,5.8091
Thra,5.86983
Fhad1,4.44629
Echdc2,5.19175
Fam98c,-4.39579
Gm14455,4.20602
B3galt1,4.27274
Gm21588,4.34684
Emid1,4.17339
Ighv3-6,-6.22475
Srp54b,-4.29251
Olfr330,4.49089
Ifi30,-4.61122
Gm12495,4.48793
Gm12760,5.0177
Ighv1-34,-5.1792
Gm11834,4.17991
Zfp772,-5.21851
Gm9568,4.19244
Bpifb5,4.3246
Sirt3,4.24056
Rgl1,5.07661
Zwilch,-4.46345
Gm15175,-4.84885
Klhl22,-4.27437
Lmo2,4.8711
1700088E04Rik,4.32297
Olfr221,4.77979
Trbv19,-4.92693
Ocel1,-4.29751
Gm13697,-4.47709
Gm13694,-4.47709
Gm13696,-4.47709
Gm13693,-4.47709
Gm13698,-4.47709
Rhox2h,4.15975
Gm26147,4.20062
Gm2420,5.04895
Gm22204,5.07876
Gm6043,-4.23999
Ptgfr,4.39973
Hoxc9,4.939
Sdha,-4.115
Rsrc1,-4.11179
Figf,4.43494
Igkv4-86,-5.255
2010005H15Rik,-4.26494
Fgf18,4.88798
Gabrr2,-4.12422
Psmd13,-4.14841
Asah1,-4.46586
Gm23439,4.37924
Creb3l2,4.65458
Gm24507,-4.26563
Gm26217,-6.0553
Rasgrp1,-5.65606
Kdm4a,-4.48947
Xylt1,4.09485
Slc14a1,-4.39807
Dthd1,4.45917
Rnf13,-4.2674
Agfg1,-4.41634
Hap1,4.9263
Fgf23,4.05619
Ptpn14,4.07864
Tomt,4.13277
Ell3,4.1205
Ighv1-22,-4.93607
Etv1,4.71543
Gm20917,4.19017
Pfdn1,-4.24401
Gm13857,4.64203
Ptprf,-4.36126
Ighv5-4,-5.55563
C330027C09Rik,-5.75845
Akr1c12,4.15427
Gm6981,4.07768
Gm22098,4.20303
Zfp612,8.3638
Serpinb6e,-4.29717
Gm15523,4.71135
Scn1b,4.76791
Gm26466,4.04669
Mrpl46,-4.03126
Lrrn3,-4.14005
Sh3rf1,4.24064
Bex2,4.07207
Btbd19,4.33743
Gm16052,4.19639
Ivl,-4.90166
Mark1,4.46757
B4galt3,-4.71351
Cyp1a2,4.05008
6030468B19Rik,3.99582
Mcm5,-4.36609
Gm23447,4.03269
Ttbk2,4.88303
Cdh23,4.0961
Gm23711,4.20544
Gm24091,4.20544
Twist1,4.17588
Ear4,3.98568
Mir6341,4.7673
Cyp1b1,3.98635
Gm20619,4.06294
Arhgef11,3.97708
Gm26202,-4.15393
Aspm,-4.08785
Pnp2,-4.41495
Gm13308,4.25862
Plaur,4.22784
Nbn,-3.95951
Thnsl2,4.30479
Chst15,-4.86523
Gm13695,-4.14129
Gbp3,4.05244
Il9r,-4.80423
Galm,4.03855
Clec16a,4.40099
4933431G14Rik,4.06161
Armcx2,3.95407
Gm13167,-4.966
Sycp2l,4.39666
Ncapg,-3.9938
Etaa1,-4.22057
Med4,-4.26637
Top2a,-4.16742
Tox,5.14934
Marcksl1,4.83236
Mrpl51,-4.18714
Ccr4,-4.23851
Ncaph,-4.02093
Rasl11b,4.79873
Smc2,-4.0149
Gm5553,-4.25083
Invs,5.33978
Gm20690,-4.00243
Fgl2,3.92148
Gm21067,4.97299
Vps39,-4.02713
Saa3,4.07033
Gm12926,4.13002
Txndc12,-4.13207
Gpr176,4.47527
Gm7150,3.94144
Gm26636,5.97797
2900053O20Rik,-4.21849
6720468P15Rik,3.92722
Prpf40b,3.99774
Dos,4.04714
Mcm4,-3.91712
Alms1-ps2,4.80451
Megf9,3.90091
En2,4.68375
Mir6976,3.9035
Gm22600,3.8806
Tshz2,4.14254
Gm15081,3.91092
Slc20a2,-3.92801
Il3ra,3.90012
Gm17048,-4.09823
Rpl31-ps16,-3.87361
Appbp2,-3.88323
Gm11677,-5.36858
Fam135a,4.78197
Uba2,-4.12537
Ccdc30,3.92027
BC033916,3.87274
Ndufaf1,-4.52387
Gm1720,3.87315
Kif2c,-4.34444
Pik3ip1,-3.85676
Gm13528,5.07642
Mrpl19,-3.89458
Gm5454,4.14638
Zap70,3.88543
Zfp109,-4.16975
Nrg1,4.5709
Trappc12,-4.76481
Gm19304,3.84951
Itgae,5.13673
4930435C17Rik,4.27872
A630009H07Rik,3.86436
Chrna1os,3.8724
Scn5a,4.19086
Defa-rs1,-3.86732
Igkv4-80,-4.23936
