,C2_B6.1_Tfh_007,C2_B6.2_Tfh_008,C2_B6.4_Tfh_009,C2_B6.6_Tfh_010,C2_B6.7_Tfh_011,C2_B6.8_Tfh_012,C2_B6.1_Tn_001,C2_B6.2_Tn_002,C2_B6.4_Tn_003,C2_B6.6_Tn_004,C2_B6.7_Tn_005,C2_B6.8_Tn_006,C1_B6.1_Tfh_004,C1_B6.1_Tn_001,C1_B6.2_Tfh_005,C1_B6.2_Tn_002,C1_B6.3_Tfh_006,C1_B6.3_Tn_003,C1_TC.1_Tfh_010,C1_TC.1_Tn_007,C1_TC.2_Tfh_011,C1_TC.2_Tn_008,C1_TC.2_Tn_009,C1_TC.3_Tfh_012,C2_TC.1_Tfh_018,C2_TC.2_Tfh_019,C2_TC.3_Tfh_020,C2_TC.4_Tfh_021,C2_TC.1_Tn_013,C2_TC.2_Tn_014,C2_TC.3_Tn_015,C2_TC.4_Tn_016,2wayAnova_pval
MID_13,8.751544059089099,9.2336196767597,8.854868383260241,9.25266543245025,8.89178370321831,9.18487534290828,9.162391328756911,9.4797802640291,8.864186144654278,8.38801728534514,9.11634396123747,8.90689059560852,8.64745842645492,9.14465824283188,8.4178525148859,9.4262647547021,8.4262647547021,9.36632221424582,9.30606168942834,8.257387842692651,9.17492568250068,8.5077946401987,8.27146302790437,8.87958324961278,9.2644426002266,9.11634396123747,9.39660478118186,9.07681559705083,9.52160043972373,9.301496194982551,9.56795607541547,8.65105169117893,0.04984588809175673
MID_14,10.5980525001616,10.9950604670327,10.888743248898301,10.999295387023402,10.7788984760084,10.7185328760692,9.15734693536284,9.27844945822048,8.991521846075699,8.06069593168755,7.98868468677217,7.5235619560570095,8.12412131182919,9.022367813028449,8.299208018387281,8.70735913208088,9.85953478638265,8.82017896241519,8.94544383637791,8.36632221424582,9.691743519171279,8.38370429247405,8.06608919045777,9.32418054661874,10.8963324039099,10.019590728357901,10.7151040092362,11.3431857154479,9.44501484586842,7.9943534368588605,8.05528243550119,8.25266543245025,0.6859703401717979
MID_15,12.434367601668901,11.0566377151132,11.431497604258098,11.8703647195834,12.174613647235901,12.1260591160707,12.516438734607902,12.5000949496718,11.4241662888181,7.882643049361839,10.8695938432408,11.3960695576399,7.25738784269265,6.39231742277876,7.49185309632967,7.0,5.857980995127571,5.70043971814109,6.5849625007211605,5.8328900141647395,4.807354922057599,5.78135971352466,6.1699250014423095,5.49185309632967,13.1275107630564,13.287568102831399,12.820577882655801,12.1608168496735,13.1656921523201,12.9238845463853,12.500841879556901,12.914571997649,0.7245759175810942
MID_16,5.24792751344359,6.70043971814109,8.91587937883577,8.90689059560852,6.442943495848731,7.48381577726426,7.5849625007211605,7.02236781302845,7.8008998999203,8.28540221886225,7.794415866350111,7.53138146051631,11.6142497276894,8.10328780841202,8.44708322620965,8.257387842692651,8.27612440527424,5.7279204545632005,8.10328780841202,7.14974711950468,7.2288186904958796,9.090112419664289,7.48381577726426,7.85174904141606,6.94251450533924,5.97727992349992,13.2137117981057,8.348728154231079,6.94251450533924,6.5849625007211605,8.37068740680722,5.614709844115209,0.6777064605461716
MID_17,10.6293566200796,11.316281531746199,10.903881845736198,11.2749604721406,10.890264277021101,10.8129794712515,10.8368393597487,11.5072991241228,10.7380922596205,10.8073549220576,10.841564347730598,10.8049376720519,10.958552715431,10.7944158663501,10.515699838284,10.8399910705399,10.653740778706599,10.61194694182,9.95128471496697,10.1421070573025,10.203348002979801,9.851749041416062,10.4614794472862,9.964340867792421,10.4696418172395,9.868822554774999,10.1137421660492,11.1312139050863,10.6786001390995,10.099347810403199,10.5274770060604,10.4125698468052,0.702475183254379
MID_18,8.76818432477693,8.204571144249199,8.348728154231079,8.43879185257826,8.546894459887639,7.5849625007211605,8.33985000288462,8.77478705960117,7.5849625007211605,8.29462074889163,9.126704472843189,10.300352560328198,8.66177809777199,8.4797802640291,8.005624549193879,10.4019461239765,8.01122725542325,7.5774288280357505,8.49984588708321,7.69348695749933,6.65821148275179,7.62935662007961,8.0,7.04439411935845,7.4262647547021,7.13955135239879,7.3037807481770995,7.74146698640115,7.93073733756289,8.37068740680722,8.31288295528435,7.62935662007961,0.9040926337273367
MID_19,13.8211760562699,14.6681093715379,14.1581362854076,14.413627929024198,14.1590040719246,13.796242448203198,13.478390445167001,14.5553081014013,13.4947306054951,13.8958592495189,13.8088636491874,13.921004080013402,12.8356556908398,11.7611356498286,12.911017407797,11.427312844135,12.7304701371842,11.485829308701902,11.4863322527687,12.1876613657391,12.5437568533759,11.7519624134609,11.9668659003875,11.7108064336994,13.488593333835402,13.184410482249902,13.4386619210214,13.935717559359901,13.2446611447642,13.0539258815311,12.6624458575807,12.9003007862482,0.601053518468022
MID_20,10.209453365628901,10.604553229079,9.758223214726721,10.122827994807698,9.467605550083,10.6229669447905,10.1848753429083,11.4878400338231,10.0552824355012,9.36632221424582,10.9366379390026,10.138271800172198,9.88569637333939,10.2215871212648,9.40087943628218,10.4878400338231,9.35093918154643,10.3793783670713,11.2732128098543,9.18239435340453,10.509775004326901,9.055282435501189,9.54882190845875,10.3869402453243,10.1799090900149,9.84705734609134,10.4419067045422,10.685624839726401,10.9957671508778,10.643856189774699,10.824163209744198,9.754887502163472,0.04157658155086455
MID_21,7.6724253419715,7.53138146051631,7.85174904141606,7.6724253419715,7.91288933622996,8.04439411935845,7.74146698640115,8.01680828768655,7.74819284958946,7.442943495848731,7.82654848729092,7.92481250360578,9.59991284218713,7.32192809488736,7.679480099505451,8.76818432477693,8.924812503605779,8.83605035505807,6.02236781302845,8.10328780841202,7.65105169117893,8.51569983828404,8.5077946401987,8.317412613764871,7.48381577726426,7.25738784269265,7.25738784269265,8.939579214314689,7.8201789624151905,7.209453365628951,8.10852445677817,7.189824558880019,0.31025278580930893
MID_22,11.258566033889899,11.172427508645502,11.078817949962001,11.4958550268872,10.9285183752579,7.888743248898259,12.2842457498297,9.33315535031062,7.2288186904958796,7.59245703726808,7.33091687811462,8.330916878114621,12.0323901688665,11.3409627642517,12.195679785495999,10.993646060016598,10.8564255286255,11.6013065261218,9.6582114827518,10.398743691938199,9.758223214726721,11.1000052244227,11.345405246717801,11.0887882387169,8.78135971352466,8.01122725542325,11.0188956211216,12.335669486946099,8.04439411935845,7.32192809488736,10.4231159101471,7.6724253419715,0.49711181156075634
