,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Fos,1.43e-26,2.07e-28,0.750146491,0.560703779,6.011033894,6.238768072,0.0,0.0
Atp2a2,1.22e-05,0.045939919,8.78e-05,0.25881852699999996,0.28605886399999997,0.142368886,0.231944204,0.0
P4hb,1.4400000000000002e-09,3.78e-08,7.170000000000001e-07,2.98e-06,-0.371565896,-0.339545451,0.27329980600000003,0.30532027100000003
Psap,5.92e-17,1.18e-12,4.900000000000001e-16,6.859999999999999e-09,-0.350256036,-0.304692454,-0.306532223,-0.260968628
Cat,2.67e-06,0.001276961,1.49e-13,8.68e-07,-0.351950365,-0.257635691,-0.488685869,-0.394371165
Gpx4,8.19e-07,4.15e-07,0.004634483,0.028404177000000003,-0.468678227,-0.47900051200000004,0.244698074,0.23437582699999998
Plekha1,1.29e-08,2.25e-15,7.780000000000001e-08,0.016674214,0.397705837,0.5576580320000001,-0.346152622,-0.18620039600000002
Txnip,0.598225525,2.07e-06,3.9200000000000004e-05,1.1800000000000002e-19,0.0,-1.014491775,-0.787205369,-1.951817005
Ctnnb1,9.500000000000001e-22,8.3e-06,6.25e-09,0.778374762,-0.42401253,-0.20753655,-0.23462132800000002,0.0
Ndufa6,7.02e-10,7.54e-06,5.11e-17,2.3799999999999998e-08,-0.555113663,-0.427731174,-0.672295877,-0.544913344
Jun,3.7e-43,1.87e-58,0.000415589,0.462226226,5.343262398,6.32211992,-1.3539434909999999,0.0
Sigmar1,5.2899999999999995e-12,6.84e-08,1.41e-26,3.99e-14,-0.517762094,-0.466326725,-0.7118456409999999,-0.660410244
Szt2,5.94e-06,0.000214679,0.535533476,0.973459775,0.40210124399999997,0.337138392,0.0,0.0
Plk3,1.36e-07,1.73e-05,5.619999999999999e-91,2.8299999999999997e-62,0.708054745,0.545294719,2.31346519,2.150705217
Chuk,7.69e-05,8.97e-05,0.011981223999999999,0.03655557,0.268846595,0.271490842,-0.159851501,-0.157207227
