,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Sdhc,6.45e-13,8.74e-06,1.5399999999999998e-05,0.280284656,-0.50892138,-0.330365375,-0.275762045,0.0
Sdhd,1.1699999999999999e-09,6.52e-11,0.9223438690000001,0.664665747,-0.414180937,-0.44743684799999994,0.0,0.0
Tcirg1,1.75e-11,0.003787084,1.6099999999999999e-10,0.061811822999999995,0.7952311059999999,0.363287861,0.684539076,0.0
Uqcr10,2.2e-09,6.12e-16,3.17e-06,0.061874104000000006,-0.47681491200000004,-0.620862712,0.31818228600000004,0.0
Uqcr11,3.3100000000000002e-12,0.01157488,0.606558984,0.000672081,-0.669605331,-0.25524749399999996,0.0,0.362689662
Uqcrb,2.8800000000000002e-05,0.000131929,0.234013355,0.20973209399999998,-0.41538296,-0.381479725,0.0,0.0
Uqcrc1,2.02e-10,6.49e-11,0.043095097,0.060928685999999996,-0.31441817899999996,-0.327385412,-0.095541103,0.0
Uqcrc2,2.2000000000000002e-16,5.59e-12,2.04e-09,0.00010175299999999999,-0.49222344700000004,-0.42571099,-0.32538261399999996,-0.25887013600000003
Uqcrfs1,3.32e-14,4.42e-08,5.78e-47,1.1499999999999999e-24,-0.459741506,-0.369815392,-0.781623469,-0.691697333
Uqcrh,4.4000000000000005e-16,2.17e-16,1.96e-12,8.48e-10,-0.561549035,-0.580989716,-0.439192789,-0.45863344100000003
Uqcrq,9.53e-06,5.13e-05,0.252276548,0.518570293,-0.477440119,-0.446881143,0.0,0.0
