,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Car3,,,,,0.0,0.0,0.0,0.0
Cflar,4.4e-07,1.78e-07,3.91e-15,8.25e-11,0.329043083,0.34727411799999997,-0.457818623,-0.43958755899999996
Nfkb1,0.817186778,0.495865919,2.1899999999999998e-25,4.4299999999999994e-17,0.0,0.0,0.449088881,0.423991092
Zfp277,2.1e-05,0.0009375319999999999,9.159999999999999e-15,1.6100000000000002e-08,-0.345446653,-0.297419836,-0.551299181,-0.503272333
Ptprk,0.001756684,0.863846144,0.37249451,6.159999999999999e-05,1.163867572,0.0,0.0,-1.647244416
Bcl2,6.640000000000001e-15,0.68948009,1.27e-29,0.142552901,-0.927713977,0.0,-1.205897609,0.0
Sesn3,0.385112588,0.719942813,0.7318990320000001,0.447056236,0.0,0.0,0.0,0.0
Tldc2,,,,,0.0,0.0,0.0,0.0
Fzd1,,,,,0.0,0.0,0.0,0.0
Glrx2,0.7459827520000001,0.989419356,0.536146826,0.880948783,0.0,0.0,0.0,0.0
Hdac6,0.0034177409999999997,0.016104827,0.001036611,0.02381056,0.29521655399999996,0.242250303,0.290146508,0.237180298
Ddias,0.705024842,0.0070114769999999995,0.010604563000000001,0.999570238,0.0,-0.639978548,0.5192134970000001,0.0
Stx2,0.113278024,0.43518637200000004,0.8740904859999999,0.434000912,0.0,0.0,0.0,0.0
Slc7a11,,,,,0.0,0.0,0.0,0.0
Rnf146,0.480113067,0.47115409700000005,0.17970991,0.280564907,0.0,0.0,0.0,0.0
Prkaa2,,,,,0.0,0.0,0.0,0.0
Tor1a,0.190934532,0.071470114,0.047072058,0.034923034,0.0,0.0,-0.159618161,-0.203939227
Mtr,0.056028127000000004,0.165727972,1.1399999999999998e-16,0.000941722,0.0,0.0,-0.609167394,-0.298948977
Mpv17,0.657068281,0.890374399,0.0020991070000000002,0.000713126,0.0,0.0,0.338227736,0.439242096
Txnip,0.598225525,2.07e-06,3.9200000000000004e-05,1.1800000000000002e-19,0.0,-1.014491775,-0.787205369,-1.951817005
