gene_name,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn,TC1-Tn,TC2-Tn,TC4-Tn
Tpst2,1655,1538,1564,1605,1821,1516,1582
Tpt1,80513,76798,74804,67850,62191,49592,58390
Tpt1-ps1,0,0,0,0,1,0,0
Tpt1-ps2,1,0,0,0,0,1,1
Tpt1-ps3,2219,2010,2021,1862,1716,1277,1688
Tpt1-ps5,11,7,7,7,6,6,3
Tpt1-ps6,15,5,16,18,4,5,7
Tpx2,15,11,10,12,14,9,13
Tra2a,1199,1300,1350,1580,2251,2157,2343
Tra2b,2227,2119,2141,2230,2545,2383,2423
Tra2b-ps,0,0,0,0,0,0,1
Trabd,1617,1454,1585,1569,1729,1505,1622
Trabd2b,0,0,0,0,0,0,0
Trac,20222,22159,21866,21900,18767,16413,19102
Tradd,628,631,604,638,587,588,613
Traf1,3501,3532,3677,3826,4486,3710,4454
Traf2,1331,1165,1116,1208,1363,1117,1133
Traf3,3175,2520,2616,2907,2842,2447,2677
Traf3ip1,248,228,207,274,292,262,249
Traf3ip2,1234,1035,1052,1203,1200,1233,1255
Traf3ip3,6301,6419,6241,6547,8492,7666,8899
Traf4,1232,918,995,1051,881,840,848
Traf5,1328,1275,1284,1339,1551,1319,1533
Traf6,1984,1681,1658,1746,1847,1486,1681
Traf7,2731,2389,2439,2596,3255,3108,3294
Trafd1,981,1078,1025,1217,1157,1096,1177
Traip,59,58,40,38,45,38,55
Traj1,18,13,16,10,44,57,43
Traj11,26,12,13,15,54,70,48
Traj12,28,12,12,17,43,45,37
Traj13,7,4,4,6,12,24,12
Traj14,11,8,5,13,26,35,40
Traj15,26,13,21,23,36,55,42
Traj16,8,11,3,7,9,10,15
Traj17,14,16,11,12,22,29,25
Traj18,14,9,9,7,18,30,14
Traj19,12,5,5,5,20,22,20
Traj2,30,31,25,25,97,98,82
Traj20,7,2,2,4,5,19,10
Traj21,17,12,17,18,25,39,43
Traj22,16,19,15,19,39,48,24
Traj23,20,17,13,19,19,31,29
Traj24,7,8,7,12,22,25,22
Traj25,4,9,2,5,11,11,9
Traj26,16,9,11,25,22,28,34
Traj27,14,13,13,17,26,19,19
Traj28,12,6,5,5,12,9,19
Traj29,1,0,3,2,5,2,3
Traj3,28,18,21,13,82,84,57
Traj30,2,6,1,4,10,11,8
Traj31,19,22,25,28,21,29,31
Traj32,10,19,18,22,24,23,25
Traj33,4,2,4,5,7,8,3
Traj34,19,11,18,15,21,10,13
Traj35,6,4,2,3,1,1,3
Traj36,4,1,2,4,1,6,4
Traj37,16,12,14,14,21,19,19
Traj38,3,8,5,2,14,10,6
Traj39,14,10,8,12,15,20,14
Traj4,16,15,17,22,51,41,46
Traj40,3,9,9,13,11,8,11
Traj41,1,3,4,5,5,5,7
Traj42,15,14,10,16,17,12,20
Traj43,5,6,4,4,12,11,11
Traj44,5,5,5,7,5,6,8
Traj45,5,3,1,4,2,4,3
Traj46,0,1,0,2,1,3,1
Traj47,1,3,5,3,3,1,2
Traj48,8,5,4,4,8,4,10
Traj49,1,1,3,4,4,3,4
Traj5,16,8,12,14,25,29,13
Traj50,1,6,6,5,3,6,4
Traj51,1,0,0,2,2,1,1
Traj52,4,3,1,7,8,2,3
Traj53,3,6,8,9,4,3,2
Traj54,1,0,0,0,0,0,1
Traj55,0,0,0,1,0,0,1
Traj56,3,3,2,1,1,3,2
Traj57,8,8,4,5,9,7,13
Traj58,11,7,3,6,4,4,9
Traj59,0,2,1,2,2,6,2
Traj6,24,33,36,25,86,99,100
Traj60,0,1,2,1,2,2,2
Traj61,3,2,2,1,2,2,1
Traj7,24,19,18,19,49,64,49
Traj8,6,3,2,3,28,23,18
Traj9,26,16,18,20,56,67,49
Trak1,1119,1017,1024,1140,1397,1297,1417
Trak2,2624,2272,2264,2426,2485,2212,2302
Tram1,5240,4858,4732,4930,3879,3250,3501
Tram2,386,378,324,357,376,356,397
Trank1,0,0,0,0,0,0,0
Trap1,1994,1917,1838,2022,2086,1856,2137
Trap1a,0,0,0,0,0,0,0
Trappc1,586,453,481,483,441,348,380
Trappc10,2706,2413,2344,2623,2802,2451,2622
Trappc11,1680,1322,1259,1417,1596,1386,1535
Trappc12,1801,1631,1543,1549,1029,868,1033
Trappc13,861,705,680,767,776,704,736
Trappc2,133,103,88,91,92,86,76
Trappc2l,413,379,388,335,294,226,314
Trappc3,878,815,770,766,676,570,718
Trappc3l,1,0,0,0,0,0,0
Trappc4,795,697,668,649,435,387,434
Trappc5,694,708,611,707,538,481,532
Trappc6a,457,358,349,334,221,191,212
Trappc6b,826,733,756,709,739,625,742
Trappc8,2649,2379,2246,2456,2531,2252,2335
Trappc9,913,849,810,865,760,617,646
Trat1,1166,996,1076,1099,1149,945,1168
Trav1,20,31,38,27,17,15,20
Trav10,56,81,75,64,73,48,61
Trav10d,4,5,2,5,4,4,8
Trav10n,40,22,36,20,18,26,20
Trav11,0,0,0,0,0,0,0
Trav11d,1,0,0,0,0,0,0
Trav11n,5,2,1,5,3,1,3
Trav12-1,35,25,33,39,41,31,42
Trav12-2,90,93,97,89,94,74,84
Trav12-3,63,79,72,76,60,58,88
Trav12-4,6,2,3,4,3,3,2
Trav13-1,98,102,105,101,82,80,115
Trav13-2,40,48,47,48,66,48,45
Trav13-3,8,4,3,3,7,5,2
Trav13-4-dv7,37,30,31,34,32,34,28
Trav13d-1,7,6,4,5,5,7,5
Trav13d-4,11,10,8,12,5,4,9
Trav13n-1,12,10,16,10,14,14,9
Trav13n-3,9,7,5,7,5,8,7
Trav13n-4,20,25,16,17,26,15,22
Trav14-1,159,143,147,118,161,139,159
Trav14-2,154,153,176,157,134,123,147
Trav14-3,70,94,78,91,83,71,75
Trav14d-3-dv8,110,144,119,125,79,76,95
Trav14n-3,153,165,145,164,140,115,142
Trav15-1-dv6-1,41,46,29,30,28,41,48
Trav15-2-dv6-2,18,14,11,15,14,15,7
Trav15-3,2,0,0,0,2,0,2
Trav15d-3,1,3,1,7,11,3,3
Trav16,42,41,52,48,53,45,54
Trav16d-dv11,15,15,17,16,19,9,13
Trav16n,40,54,48,42,32,43,52
Trav17,66,69,87,57,69,60,64
Trav18,5,3,2,3,4,3,1
Trav19,55,63,52,66,57,45,55
Trav2,20,19,25,26,10,15,11
Trav20,5,10,5,3,4,5,8
Trav21-dv12,63,76,61,70,101,68,86
Trav22,1,0,0,0,0,0,0
Trav23,0,2,0,0,3,0,1
Trav3-1,25,28,23,25,19,10,16
Trav3-3,128,106,103,100,91,93,105
Trav3-4,10,12,17,15,17,8,18
Trav4-2,15,28,18,17,18,22,21
Trav4-3,62,60,52,62,60,42,51
Trav4-4-dv10,102,120,103,96,106,74,107
Trav4d-2,4,1,2,4,1,3,0
Trav4d-4,0,0,0,0,0,0,0
Trav5-1,41,39,38,60,33,25,30
Trav5-2,0,0,0,0,0,1,1
Trav5-4,72,131,105,97,95,85,87
Trav5d-4,0,0,0,0,0,0,0
Trav6-1,21,35,33,31,12,30,22
Trav6-2,26,29,26,24,24,20,22
Trav6-3,12,13,11,16,16,5,11
Trav6-4,27,24,29,35,20,27,27
Trav6-5,18,26,22,29,17,16,27
Trav6-7-dv9,55,64,51,66,51,49,61
Trav6d-3,3,2,3,4,1,1,4
Trav6d-4,30,27,27,31,31,21,19
Trav6d-5,18,26,22,27,21,11,13
Trav6n-5,5,4,5,10,2,3,8
Trav6n-6,38,49,30,31,18,29,26
Trav7-1,41,50,53,49,28,26,35
Trav7-2,1,0,0,0,0,0,0
Trav7-3,25,31,31,30,29,17,25
Trav7-4,73,70,82,76,60,55,64
Trav7-5,78,79,79,79,82,44,81
Trav7-6,46,55,51,44,46,18,54
Trav7d-3,10,21,21,15,12,8,11
Trav7d-4,30,32,23,24,16,24,21
Trav7d-5,0,0,0,0,0,0,0
Trav7n-4,39,28,40,24,24,25,40
Trav7n-6,0,0,0,0,0,0,0
Trav8-1,65,70,62,59,61,66,67
Trav8-2,11,16,24,13,23,27,32
Trav8d-1,34,27,25,27,23,20,21
Trav8d-2,18,32,20,21,17,22,16
Trav8n-2,34,30,29,31,26,21,25
Trav9-1,36,42,34,49,26,27,33
Trav9-2,110,128,149,109,132,117,88
Trav9-4,101,115,110,85,110,87,122
Trav9d-1,9,24,16,18,7,9,10
Trav9d-4,1,6,2,1,0,0,0
Trav9n-1,8,9,6,7,7,8,2
Trav9n-4,15,23,20,23,13,12,15
Trbc1,10530,9027,9636,9594,7704,6713,7787
Trbc2,20530,17718,14478,18013,15785,13835,16180
Trbd1,212,183,206,221,240,196,241
Trbd2,99,103,85,68,86,50,78
Trbj1-1,118,122,102,119,144,152,181
Trbj1-2,133,152,131,167,201,187,218
Trbj1-3,118,119,76,145,195,172,193
Trbj1-4,88,81,109,149,153,152,162
Trbj1-5,94,102,113,131,213,234,224
Trbj1-6,131,108,149,172,222,239,269
Trbj1-7,35,45,30,49,73,90,68
Trbj2-1,94,87,96,88,138,109,137
Trbj2-2,75,87,84,98,161,152,174
Trbj2-3,97,102,108,101,198,174,245
Trbj2-4,105,84,92,118,173,174,213
Trbj2-5,78,94,76,95,154,153,143
Trbj2-6,141,149,103,154,225,230,233
Trbj2-7,131,110,92,154,174,175,175
Trbv1,1020,817,815,837,733,604,759
Trbv10,0,0,0,0,0,0,1
Trbv12-1,147,141,98,123,82,68,90
Trbv12-2,306,295,288,254,236,225,294
Trbv12-3,6,0,1,3,3,1,4
Trbv13-1,1092,905,947,790,714,654,841
Trbv13-2,1674,1475,1412,1443,1328,1069,1429
Trbv13-3,728,672,698,593,591,461,628
Trbv14,295,267,262,255,190,187,219
Trbv15,500,339,443,436,259,260,321
Trbv16,800,632,670,627,469,376,487
Trbv17,274,233,215,212,159,147,182
Trbv18,0,0,0,0,0,0,0
Trbv19,852,720,672,643,566,415,598
Trbv2,1065,920,866,960,961,816,985
Trbv20,397,409,319,352,332,234,291
Trbv21,14,11,8,3,7,9,6
Trbv22,4,5,4,5,2,0,3
Trbv23,93,52,79,80,35,34,45
Trbv24,45,35,28,38,29,22,36
Trbv25,0,0,0,0,0,0,2
Trbv26,406,335,292,295,180,152,123
Trbv29,265,177,271,212,126,147,207
Trbv3,1127,989,932,909,675,642,665
Trbv30,49,34,30,46,31,20,44
Trbv31,961,855,816,845,880,714,825
Trbv5,5,8,9,7,10,5,10
Trbv6,0,0,0,0,0,1,0
Trbv9,0,0,0,1,0,0,0
Trdc,250,209,247,227,187,181,227
Trdj1,0,1,2,1,1,0,2
Trdj2,0,2,2,0,2,0,1
Trdmt1,324,247,222,197,162,138,185
Trdv1,26,26,26,30,34,38,37
Trdv2-1,0,1,2,3,3,1,1
Trdv2-2,18,21,37,24,23,24,24
Trdv3,0,0,0,0,0,0,0
Trdv4,0,1,0,0,0,0,0
Trdv5,4,5,8,6,3,4,5
Treh,1,0,0,0,0,0,0
Trem1,1,0,0,0,0,0,0
Trem2,1,0,0,0,0,0,0
Trem3,0,0,0,0,0,0,0
Treml1,0,0,0,0,0,0,0
Treml2,6000,4673,5006,5243,4812,3731,4706
Treml4,0,0,0,0,0,0,0
Trerf1,634,470,490,527,541,539,634
Trex1,4,3,6,7,9,6,8
Trex2,0,0,0,0,0,0,1
Trf,0,0,0,0,0,0,0
Trgj1,0,0,0,0,0,0,0
Trgj2,1,0,0,0,0,0,0
Trgj3,0,0,0,0,0,0,0
Trgj4,0,0,0,0,0,0,0
Trgv2,1,2,3,0,2,0,0
Trhr2,0,0,0,0,0,0,0
Triap1,494,439,480,451,293,255,301
Trib1,88,118,91,66,211,205,112
Trib2,7285,7044,7076,7429,7644,6465,8026
Trib3,144,92,108,111,102,79,83
Trim10,1,0,0,0,0,1,2
Trim11,1469,1431,1503,1804,2406,2267,2442
Trim12a,2834,2625,2781,3037,3264,2747,3525
Trim12c,2070,1722,1745,1850,1602,1395,1739
Trim13,119,93,100,77,201,130,83
Trim14,627,521,452,608,560,533,572
Trim16,15,15,3,7,9,4,17
Trim17,2,6,3,2,9,1,3
Trim2,130,126,133,138,172,183,172
Trim21,1907,1605,1663,1924,1653,1423,1820
Trim23,682,615,551,555,622,464,562
Trim24,1373,1102,1108,1116,1282,1147,1446
