MID,C2_B6-1_Tfh_007,C2_B6-2_Tfh_008,C2_B6-4_Tfh_009,C2_B6-6_Tfh_010,C2_B6-7_Tfh_011,C2_B6-8_Tfh_012,C2_B6-1_Tn_001,C2_B6-2_Tn_002,C2_B6-4_Tn_003,C2_B6-6_Tn_004,C2_B6-7_Tn_005,C2_B6-8_Tn_006,C1_B6-1_Tfh_004,C1_B6-1_Tn_001,C1_B6-2_Tfh_005,C1_B6-2_Tn_002,C1_B6-3_Tfh_006,C1_B6-3_Tn_003,C1_TC-1_Tfh_010,C1_TC-1_Tn_007,C1_TC-2_Tfh_011,C1_TC-2_Tn_008,C1_TC-2_Tn_009,C1_TC-3_Tfh_012,C2_TC-1_Tfh_018,C2_TC-2_Tfh_019,C2_TC-3_Tfh_020,C2_TC-4_Tfh_021,C2_TC-1_Tn_013,C2_TC-2_Tn_014,C2_TC-3_Tn_015,C2_TC-4_Tn_016
MID_95,251,459,289,475,329,203,192,450,263,236,236,277,119,88,200,212,145,159,82,84,99,97,109,103,221,157,217,271,201,217,119,159
MID_96,15548,24613,11361,10156,9441,18626,8997,36600,9625,4543,21387,14315,9734,11786,5263,12692,9598,10080,18541,5777,20582,6540,9254,13119,10069,8119,14606,12822,22519,19744,10498,3427
MID_97,24016,13270,18615,18436,14490,23953,4603,4703,3445,5023,4363,3017,8591,6759,15751,5457,13802,4385,15756,3045,11049,5508,3414,11080,21800,21102,19761,25352,4267,2403,6091,2694
MID_98,3708,1403,3039,3950,2986,6291,7910,7085,9497,5077,4783,4834,258,7654,2187,8005,2583,2829,4599,4131,4049,5238,4368,2118,4664,2532,3091,2350,8883,8726,12041,8503
MID_99,3291,187,1342,1222,811,322,85,78,79,103,112,118,1499,184,615,313,571,127,2043,98,3771,181,386,2200,2265,4350,2373,771,124,85,167,133
MID_100,795,255,326,619,581,494,450,759,600,399,427,525,878,1502,1222,1392,1039,1078,842,557,1364,748,1191,917,592,665,496,790,536,524,408,517
MID_101,43391,28068,43600,45553,41876,40380,50091,43613,42245,42613,39619,43415,1689,1349,1572,1045,2172,874,941,972,419,1293,652,640,40359,34072,28695,46046,39485,23825,28930,31493
MID_102,490,588,474,648,594,477,367,1015,419,563,521,702,235,114,220,369,320,174,140,211,107,143,210,126,691,436,447,290,464,399,387,396
MID_103,193,57,150,242,179,157,156,155,181,135,233,122,109,113,142,163,235,99,89,53,198,115,60,177,250,123,109,197,204,125,171,110
MID_104,240,122,199,217,196,197,146,273,199,162,156,241,1681,1667,1656,2128,1302,1654,964,1178,745,1149,1289,820,238,132,117,393,211,124,189,154
MID_105,474,195,446,192,192,271,368,687,290,578,699,410,141,166,265,130,136,229,81,97,122,196,209,190,219,241,114,164,261,411,194,355
MID_106,162,94,154,120,76,157,95,127,128,95,129,40,144,49,303,188,175,100,109,80,144,137,140,107,125,96,69,166,93,55,45,70
MID_107,379,142,343,296,322,355,432,343,528,465,313,249,280,918,652,799,577,513,292,570,1021,770,418,694,620,990,516,567,834,834,1153,660
MID_108,1554,435,1008,1252,1481,1611,1170,1030,1465,979,1174,930,957,17985,2188,2008,3773,1222,1777,789,3222,1699,914,2357,1915,2136,1277,3695,2163,1336,3218,1905
MID_109,833,460,685,815,620,615,753,609,584,592,588,637,277,312,384,432,219,259,179,78,548,299,233,162,636,435,452,811,741,372,412,420
MID_110,368,227,471,477,465,252,375,693,418,345,355,416,285,336,432,336,264,293,432,279,328,448,315,300,397,403,1011,657,433,359,484,364
MID_239,130,126,144,174,137,322,174,365,640,305,195,177,116,106,179,394,139,408,85,163,446,396,169,291,207,185,167,212,399,497,822,288
