"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells"
"2-aminomuconate",17.7602078713596,17.2529768587345,18.0125360534598,17.2637508864781,19.8628262080076,19.6493531941071,19.2040990748799,18.089637044066,18.570916099102,17.8933420100912,17.9632241443216,17.2824368095003,17.4234139835708,18.7315954901442,17.069798671643
"2-oxoadipate",17.0864718083574,17.4063761873885,17.3594148123287,16.4730898951985,19.0284850765339,19.153421839706,19.1162220611509,18.3448669469307,18.8041703653279,18.6551889174479,18.6272982381956,17.7145844950728,17.2378335159257,17.6581503764373,17.4483432415881
"erythro-5-hydroxy-L-lysinium",18.0657816481829,17.4143297698274,18.3340061557813,18.149204076903,17.4159279349641,17.7918898919368,17.5191677523492,17.0908072627865,16.3498111864188,15.5891536422438,16.7495893125244,17.189833253392,17.5247665447337,17.2289716024308,17.7412417649796
"arginine",27.9680241630021,25.1999230049716,27.9770462194597,27.7606440651781,27.2900335901112,27.6706573606113,27.3649245187978,27.3792260367329,26.9651062506477,26.444493490492,26.9339580176884,27.4547019099402,27.4218240457917,27.2226974328769,27.6289760018018
"L-Fucose 1-phosphate",19.9743161033601,20.4311972107969,20.2846907138844,20.0626286316475,20.9982939432668,20.7553249572519,20.4616326745373,19.8176688112641,19.9747782231627,20.0033237794186,20.0799450723108,19.568485222335,19.5340619596889,19.7088608435517,19.5735663464707
"D-Glucosamine 6-phosphate",22.4943213179728,22.5677068523398,22.274987207388,21.4660396312897,22.6500884416334,22.3330655108159,22.6904057693048,22.2463965380849,22.3278707444049,22.3234130057381,22.0548723373112,21.3063075984827,21.3302561499267,21.1011260368269,21.1998366391417
"6-Phosphogluconic acid",23.0306955191794,22.9651635751418,22.0689400227251,23.2024308744793,20.9416103771201,23.2190803168259,21.7801016115669,21.1608560498408,20.924091388993,21.4968183896438,21.5926822345689,19.8403867898601,19.4677148298069,19.866280922952,19.5038576296057
"4-hydroxybenzoate/Gentisate aldehyde",21.5114304832294,21.0625559106629,21.5874082898522,21.2355330205638,21.0957754157078,20.9044934575861,22.8182979017059,21.0063910369963,21.2090029695626,20.930520806051,21.0846212123219,20.9152817009923,20.7338201630417,21.161160449781,20.7066148980052
"3-hydroxyanthranilate",18.8795182690815,19.0419305484047,19.1560683132055,18.2586806444657,18.7059417986327,18.794523156331,19.0265046933275,18.4273271845781,18.6649141869218,18.5708461978239,18.194260568568,19.6141818409054,19.7098068624104,19.4882197854271,19.5745349536168
"quinolinate",19.2705046768326,19.1393837156927,18.9204496680865,19.0809401458559,19.1578943683845,19.3868525931635,18.7392078968571,19.2873920769678,19.155642410515,18.9816641946706,19.1590389302586,19.0119841752029,19.0454484341997,19.1121229050689,18.8932442055626
"2-acetamido-5-oxopentanoate",20.4578693326791,20.2000020322452,20.4509530802208,19.9521725282931,20.8019633226943,21.0597509630215,20.0011093347833,20.2637488237095,19.3212366525217,18.75671774041,19.4238591875613,16.2871124002445,15.6232303646766,15.9185960140049,15.841208052408
"N-acetyl-L-glutamate",24.2490320569558,24.20541631382,24.3440863154168,24.109814872803,24.3233115910258,24.4328342710943,24.1263151631446,24.1927355546404,23.728100845168,23.4852327562651,23.8378749013425,23.1029603631171,23.0442315849721,23.0443540507218,22.9658016477939
"L-cystathionine",19.5007279160556,19.6317955679294,19.410069490878,19.4192720433724,17.6581711546881,18.1304194262292,17.3935874234915,17.3871894496376,17.2380124103508,16.9178509557224,17.2870781396192,17.6781966215402,17.6180046667174,17.7318275046715,17.6656718512861
"N1-(5-Phospho-D-ribosyl)glycinamide",19.5131124233101,19.5807628020292,19.5323016009773,18.1158189544132,18.6357313784596,18.2053180021551,18.7821658105914,18.3461075284527,18.3120180945383,18.3412756606889,18.3785287007653,17.7871584268844,18.2522893413127,18.0125063788912,18.0939904071179
"Sedoheptulose 7-phosphate",24.8086979338188,24.9094748730239,24.772415722496,24.6774077922972,24.7894451120371,24.9524917332985,25.0203413573171,23.7497521958075,24.0575564393137,24.1073740031493,23.9149061345655,22.9247911924794,23.1140246972403,22.9441697556584,23.0221181986978
"sedoheptulose 1,7-bisphosphate",21.7628318070574,21.659081104903,20.4552295525845,21.918418018674,21.8373548140462,21.9325553280661,20.7696702689432,20.0115526745281,19.3326281093593,20.2900741894969,20.8103670946804,19.6918172680786,18.5867275640488,20.2873282221241,19.8081296022079
"4-pyridoxate",19.2061053479882,19.8544299200683,19.0012829620384,19.6953001307863,18.9814377843785,19.6423507310557,18.3732320622198,19.4416104726694,16.0001113854234,17.696774764737,18.1628559046656,16.9579309856312,15.7226084265825,14.4140378595369,15.8996157680995
"fructoseglycine",25.6883024413568,25.5870163766154,25.6212852195024,25.3183860396321,25.3433177754716,25.7174539796858,24.9849250861802,24.4201716797338,22.8684303075433,22.592717539868,23.6102376344682,18.0605407088791,18.4277348699066,18.1937467124298,17.9722007795295
