"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells"
"5-Methoxyindoleacetate",1.03272437476129,1.12536085044379,0.971443415901465,1.04599580452941,0.674226230914711,0.870987797557101,0.378009779730157,0.444393861529047,-0.402547970721013,-0.689069474932585,-0.0190540249786418,-1.15484226121703,-1.45122477049338,-1.36609343963612,-1.4603101733882
"Glycyl-phenylalanine",0.604333827367928,0.727310160138842,0.574959566165637,0.609989218147789,1.37634177559248,0.971577263423298,0.733466887165907,0.45285169911915,-0.499783626341613,-0.846884457359739,0.165750240023807,-0.8047194918715,-1.22198126159052,-2.32841331495594,-0.514798485025529
"laurate",-0.150709711276588,-0.187581379543344,0.854681111371186,-2.09130594979804,-1.44592712001968,0.71217964123028,0.385180181176412,-0.82741329690698,1.77700538023214,1.21517593877403,-0.155784501731378,-0.317640396817642,0.664664470752145,-0.45321721996638,0.0206928525238017
"omega hydroxy dodecanoate (n-C12:0)",1.23273580073676,-0.869994930957672,0.0153923712108988,-0.553835569428922,0.105553262810921,0.170873570566443,0.24690621650435,-1.28388710695917,2.90278386996627,-0.249497233643134,0.0404478876568641,-0.213467577250919,-0.18048850066542,-0.391026921590136,-0.972495138957072
"Dodecanedioic acid",0.685774232020138,0.669502119549285,0.460663759848965,0.416050402249904,0.39069236687876,0.434397216576726,0.400045327173257,0.1249581298411,1.45478073177714,0.769761370623948,0.247201196149784,-1.35112031501641,-1.21412337200889,-1.63378498611695,-1.85479817954677
"fructosyllysine",1.30349929046143,-2.23983504192779,1.31410881748963,1.23402408482262,0.420828963016805,0.941333881497374,0.288112247653175,0.457366224014971,-0.456099957659884,-1.21777364991503,-0.194556195327146,-0.562148703064614,-0.484339616948143,-0.597013436487142,-0.207506907626249
"tetradecenoate (n-C14:1)",0.672975776480006,-0.69501849830576,-0.169623786383108,0.25837847935719,0.498501861053349,0.15643934339792,-1.09646083956311,-1.42736022660149,-0.698078411036723,-1.27400209478916,-1.09290442496897,1.14416457239575,0.953014553221077,1.60566639884526,1.16430729689779
"myristate",0.37795520716115,-0.830379096328337,0.926952324975917,-1.12159698263086,-1.14933044458711,-0.073360311761354,-0.588742844781889,-1.34082513317052,1.61926534139727,1.42103457590235,-1.16484309584406,0.159754610973001,1.14216162315285,0.48118352298336,0.140770702558253
"omega hydroxy tetradecanoate (n-C14:0)",1.50567578244294,-1.12333063008745,0.365041800112889,-0.420276960875256,0.88407626504968,1.46443850094894,0.207295594067556,-1.04611031920786,1.40797136777703,-0.21260584711474,-0.13774247580241,0.291872764887033,-0.584267485393323,-0.955133614681643,-1.64690474212331
"3(S)6(R)-dihydroxy-tetradec-8Z-enoate/3(S)6(S)-dihydroxy-tetradec-8Z-enoate",1.09311806781342,1.12030455242014,0.980696102846145,1.03072661340662,0.567215969979791,0.647659654224806,0.29437313506994,0.305197310268206,-0.107755364135183,-0.101077917320886,0.021569583194881,-1.35250269270646,-1.45236491884711,-1.49771937601329,-1.54944072020101
