"X","B6_Tn.1","B6_Tn.2","B6_Tn.3","B6_Tfh.1","B6_Tfh.2","B6_Tfh.3","TC_Tn.1","TC_Tn.2","TC_Tn.3","TC_Tfh.1","TC_Tfh.2","TC_Tfh.3","X2wayAnova_pval"
"MID_21",17.5901776668819,17.5424046748715,17.3849439132633,16.5629280662036,17.4346608025725,17.5754136791584,16.9235828317292,17.6218372529619,16.9916768424351,17.6655510505932,18.1371562646231,17.7761438372839,0.0440099123757282
"MID_22",11.0834793273318,10.9432473959016,10.9008668079807,10.8525295094042,10.2772874001304,9.47167521439204,10.9068905956085,11.2221911384563,10.7270695580237,9.81698362325538,8.72451385311995,10.1548181090521,0.344779247251933
"MID_23",13.5015884229324,13.9003951386265,11.9679467058127,12.3880172853451,12.4863322527687,13.8672787397097,13.8854103985707,13.9996477365284,13.3675512602161,13.8551604760652,11.1972166931101,13.4754801265955,0.557208991607488
"MID_24",9.93073733756289,9.56605403817109,8.7176764230664,11.0920964149908,10.5545888516776,10.3837042924741,10.1254134704833,9.5274770060604,9.51963625284321,10.1910592145317,9.7431513941125,9.76155123244448,0.0539194463813146
"MID_25",10.3420746679991,11.0986900966736,10.5097750043269,10.2203783276952,10.3151495622563,10.3815429511846,10.0430272835945,10.2240016741981,10.4553272203046,11.3026389237876,9.50581155391959,10.468624042918,0.389502961973927
"MID_26",11.523561956057,10.3520434257954,9.09275714091985,10.2632692003727,11.1130909834424,10.3652288492515,10.4356702609366,10.9505558970475,10.3706874068072,10.9708249013626,10.664447284548,10.7927902943011,0.966205285928896
"MID_27",7.467605550083,8.16490692667569,6.68650052718322,9.11113567023471,9.96000193206808,10.0375469539622,7.19967234483636,7.44294349584873,6.8073549220576,10.9076418036655,12.1538686552232,8.5274770060604,0.378809416584182
"MID_28",8.26209484537018,8.38370429247405,8.29462074889163,9.28771237954945,9.92481250360578,10.1699250014423,7.69348695749933,8.77478705960117,8.72109918870719,10.8618623400592,11.9744145898055,11.3869402453243,0.0229746178586408
"MID_29",10.9992953870234,11.9225844027137,11.7163907894977,11.3880172853451,12.0647427647503,11.8372337003391,11.1611318829843,11.5147140541385,10.7448338374995,11.6943578872215,12.4083297407674,11.9708249013626,0.184079931624979
"MID_30",13.4897225468659,14.5174848570149,14.1682020062373,13.1741454677605,13.9556499075284,13.5760118742068,13.8808270760341,14.2360889564968,13.8700756892226,14.3020676725265,14.467223429821,14.222945804499,0.0742490567042002
