"","C2_B6.1_Tfh_007","C2_B6.2_Tfh_008","C2_B6.4_Tfh_009","C2_B6.6_Tfh_010","C2_B6.7_Tfh_011","C2_B6.8_Tfh_012","C2_B6.1_Tn_001","C2_B6.2_Tn_002","C2_B6.4_Tn_003","C2_B6.6_Tn_004","C2_B6.7_Tn_005","C2_B6.8_Tn_006","C1_B6.1_Tfh_004","C1_B6.1_Tn_001","C1_B6.2_Tfh_005","C1_B6.2_Tn_002","C1_B6.3_Tfh_006","C1_B6.3_Tn_003","C1_TC.1_Tfh_010","C1_TC.1_Tn_007","C1_TC.2_Tfh_011","C1_TC.2_Tn_008","C1_TC.2_Tn_009","C1_TC.3_Tfh_012","C2_TC.1_Tfh_018","C2_TC.2_Tfh_019","C2_TC.3_Tfh_020","C2_TC.4_Tfh_021","C2_TC.1_Tn_013","C2_TC.2_Tn_014","C2_TC.3_Tn_015","C2_TC.4_Tn_016"
"MID_15",0.848034987974972,0.397296228949964,0.519935566958252,0.663515539251038,0.763053761817739,0.747168638517441,0.874885418508335,0.869538378125632,0.517537050343571,-0.6411093618363,0.336102867672329,0.508344910529008,-0.845668149939937,-1.12868499623629,-0.768960387053963,-0.929875277865023,-1.30349875374537,-1.35504003217522,-1.06565914174089,-1.31170753090283,-1.64722207498271,-1.32856620834704,-1.20144300561675,-1.42328132967625,1.0748040313406,1.1271684660582,0.974387725527855,0.75853999502464,1.08729547264743,1.00818558232318,0.869782744058878,1.0051388844895
"MID_16",-1.61399247483339,-0.689114685401009,0.721552246950762,0.71582869713547,-0.853073746186007,-0.190305026168589,-0.125900501582423,-0.484129044803511,0.0115962463149021,0.320099976795582,0.00746757970844686,-0.160017883770251,2.43972218400639,0.204139799100504,0.423049316694454,0.302262003234827,0.314192388759975,-1.30836006163222,0.204139799100504,-0.403021091966929,-0.352672778507822,0.83249401331005,-0.190305026168589,0.0439741095982794,-0.534975124069222,-1.14958202613044,3.45816935380188,0.360422358203633,-0.534975124069222,-0.762644059702818,0.374404770822628,-1.38044618854586
"MID_17",0.038638530272846,1.65479607241096,0.68452573921923,1.55757825282613,0.652487104412557,0.470655845106242,0.52679202257543,2.10421131031741,0.294465507805041,0.457422728288867,0.537908703356351,0.451735561086751,0.813152226469684,0.426980459978803,-0.228766628565326,0.534207186997811,0.096008180440442,-0.00232196242086949,-1.55669016569912,-1.10773430089318,-0.963650115616057,-1.79087199079965,-0.356333255369076,-1.5259723980046,-0.337129299394117,-1.75070240760765,-1.17446959051854,1.21937957265652,0.154495858073558,-1.20833580507328,-0.201057983553931,-0.471404958779209
"MID_18",0.767775218091536,0.0666700785367575,0.245993813490066,0.358028315130703,0.492502270322653,-0.704090470539332,0.234949860378607,0.775988672780543,-0.704090470539332,0.178687048350288,1.21375541714905,2.67371188125075,0.635411470735691,0.409015742187435,-0.18080901724948,2.80008892863068,-0.173839545511526,-0.713461962942187,0.433976321424478,-0.569091756805699,-1.85691997175427,-0.648866522052047,-0.187805660485921,-1.37652909253773,-0.9015021159972,-1.25815850175785,-1.05386577507191,-0.509407125535089,-0.273964767993728,0.273309968210749,0.201404272155377,-0.648866522052047
"MID_19",0.754802889114641,1.62902791311582,1.10262137623146,1.36634602166254,1.10351712643396,0.729065816646723,0.400971302032884,1.51259171759158,0.417838010187464,0.831892685009529,0.742093725142498,0.857847786369079,-0.262475035357068,-1.37162057457288,-0.184684850902192,-1.7162005374325,-0.371050104387203,-1.6557984293583,-1.65527927834494,-0.93135042873385,-0.563780065620335,-1.38108941071281,-1.15926084094295,-1.42357160706307,0.411502970146791,0.0975180838113998,0.359962559846696,0.873035395125222,0.159710272892995,-0.0371712726452888,-0.441266408784457,-0.195746806503439
"MID_20",0.0355523643499075,0.68536743864986,-0.706579388049219,-0.106919139651378,-1.18455408967092,0.71565221257694,-0.00487075683486821,2.13809656804234,-0.218010351518954,-1.35113333833902,1.23154239444084,-0.0815189346430211,-0.496926113781246,0.0555085780808602,-1.29429757127732,0.493410921670257,-1.37643359141737,0.315025575181981,1.78510225346017,-1.65363685103261,0.529487052811451,-1.86269599789106,-1.05097871079971,0.327462487804303,-0.0130386816848971,-0.560475167285895,0.417865034311879,0.818704753009904,1.32879136049328,0.750008453966004,1.04655682164996,-0.712065586622418
"MID_21",-0.34142338295844,-0.550156062904156,-0.07603990104728,-0.34142338295844,0.0144424187634602,0.209058062667239,-0.239247752785935,0.168233430545663,-0.229294060121215,-0.681036560402897,-0.113334529813779,0.0320876696890523,2.51109051080944,-0.860128830813771,-0.3309829552615,1.28020462880494,1.51200071371593,1.38064045226432,-2.78336504343602,0.29621560130848,-0.37305452756484,0.906549543829684,0.894850538067575,0.613101693799878,-0.620549137996916,-0.955642791901506,-0.955642791901506,1.53385416151142,-0.122760872761627,-1.02658164976668,0.303965385532527,-1.05563057691311
"MID_22",0.708831168144762,0.657912475825818,0.602577463957513,0.849098780003916,0.51373152912972,-1.2831575392485,1.31513676399213,-0.429328486976028,-1.67325587733434,-1.45829992072691,-1.61290301911056,-1.02177736221694,1.16625846825294,0.757537989505767,1.26278315014696,0.552230174564667,0.471115597806813,0.911433866759385,-0.237179467159436,0.200568121446755,-0.178059966398694,0.61510180549088,0.760164054871778,0.608471157447172,-0.75550904524216,-1.21075410043245,0.567155837959136,1.34553465437499,-1.19114831620165,-1.61821651950045,0.214975164945446,-1.41102860407843
"MID_23",1.58145856179641,-1.70444165806638,0.547449119332287,0.241677101245883,0.267165794725092,0.0233786571429382,0.254467291354832,-1.14733759568262,-1.0919757889589,-0.476577428832707,-0.419735109164955,-0.91079559553923,0.872218980611166,-0.112372016943121,0.0521830907280674,0.149462710792409,0.682579931109004,-0.401185896384133,-1.42040529469432,-0.815019101262488,2.12242188714005,-0.746438912246219,0.241677101245883,1.30839086278473,0.71235262579198,1.895368038413,1.20713852601966,0.89899178696602,-0.476577428832707,-0.935571294992147,-1.3879010132952,-1.01204793230429
"MID_24",0.77336048829442,1.11841762323741,1.13999910561914,0.956887065768375,1.07088155363369,0.650489569060264,-0.135235923240244,1.33465134091362,-0.469471894937116,0.446554446778655,0.360121127490674,0.446554446778655,-0.0961605902025122,0.0229825463829062,0.175771496444454,-1.30053930929905,-0.299252950953935,-1.59533715677961,-0.0578000900809191,-0.740692456769606,-1.75989073722333,-1.09339616909964,-1.25519738723762,-1.81774219085732,0.852816975844352,0.360121127490674,2.05831917183477,1.35412809574902,-0.236233718412534,-0.885996086722122,-0.749484847829382,-0.629624671676139
