compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
3-oxo-10(R)-hydroxy-octadeca-6E8E12Z-trienoate/3-oxo-10(S)-hydroxy-octadeca-6E8E12Z-trienoate,1282605.294,1245358.179,846141.618,1692472.608,1141647.36,915121.449,1304527.965,910144.308,1567962.123,1004595.018,1549452.102,1213179.894,1384527.618,1454267.82,1007942.61
C18H32O4(3),1337456.409,1462262.943,422530.476,1182135.222,950463.513,1318751.121,1361028.615,1098898.68,1206571.956,462169.095,2427172.164,958084.737,1185945.378,1558209.357,1116851.514
C20H28O(5),57575.871,67559.868,21248.013,84667.635,100401.813,34154.739,54447.759,196916.286,3412.758,33019.689,184191.294,337118.184,122971.365,418633.047,350867.607
C20H28O2(7),391058.493,563331.729,123143.967,511580.775,513163.911,499757.505,390899.439,666054.612,86835.129,244158.018,759949.35,1106440.794,714315.636,1144250.841,750613.758
C27H44O2(5),6531433.701,2327347.581,6493119.732,2377223.112,10330807.89,2354505.423,2952366.072,14952221.96,14353691.39,1943028.675,9257499.519,23939569.46,27996968,19432277.11,34389417.23
5-guanidino-2-oxopentanoic acid,21789110.2,29350901.91,32857940.45,27988579.73,15546414.46,22330845.17,24887934.17,26276644.93,17174835.65,13403657.36,19563454.71,26998200.54,27230953.86,22014418.15,33153265.35
L-serine,90387444.66,90275671.65,89040309.12,80066207.17,67863896.25,76254752.21,66666445.86,60439077.91,60789965.57,61814606.3,62632044.03,62920227.6,63494602.69,63391288.9,64716404.4
L-asparagine,207281957.8,207295003.5,192811812,179957127.6,183666512.5,208224119.2,168092602.5,196991912.5,187601699.5,188929779.2,190456542.7,284135685.4,289655602.6,281526344.1,284571970.8
choline,3790678710,3829521004,3686722548,3482298076,2915123429,3153129698,2898105698,1990453656,1917876442,1860587853,1848725314,4616639025,4816371060,4771388998,4769768576
L-methionine,73337965.58,73420223.44,66284090.2,63235395.39,56589751.01,72076801.95,49594226.57,51916534.77,38635580.8,33995391.55,39293219.86,46900796.82,44346648.87,45677413.45,48331576.89
L-histidine,2723598.639,2536207.212,2529705.801,2169494.787,2590885.641,3256966.953,2447089.227,1830790.185,1868454.714,1885856.328,1704690.582,885556.653,852039.228,263246.982,722618.013
L-phenylalanine,659681433.8,640267646.3,602041829,594300713.1,476620025.3,666609996.9,423452216.6,350628371.6,262457324,239133477.5,264224696.8,302952452.8,298261680.2,297908566,348051513.7
Biotin,3011535.474,2739488.07,3219667.737,2139554.469,3191950.158,4427100.501,4065361.185,3065511.975,2542544.022,2642554.938,1918837.641,5092243.398,6266011.281,5516409.258,5838481.104
S-Adenosyl-L-homocysteine,5354625.168,3965850.264,5267288.031,1725338.394,2662627.212,2810352.573,1871810.391,2163739.041,2482158.96,2844687.768,2548432.668,3303065.295,3036813.762,3763792.347,3491378.643
S-adenosyl-L-methionine,25476635.54,34297.209,23869742.77,25224375.59,9655300.329,11621300.93,10823521.09,9005244.501,6063728.334,3856119.285,7183389.417,13160935.21,10430053.9,9514697.046,14423977.94
Riboflavin,4623630.219,5103324.357,4228905.027,3936154.749,2325131.976,3821391.858,2680105.05,3293938.251,2295146.295,2015631.111,2374994.418,1991932.221,1854457.149,1433896.35,2070295.683
Folate,198222.651,117678.447,184014.09,135483.957,145058.769,195700.152,11155.716,103175.415,21409.68,27767.676,77843.064,29542.08,29954.118,47389.164,44593.2
Coenzyme A,1388071.557,175480.353,104553.237,28996.263,3102897.918,2115684.246,91270.881,11141.28,203324.217,201222.003,91188.24,1000,1000,180768.255,1000
L-threonine,52911195.23,50872669.78,52933402.75,48800017.45,42813859.45,52138282.39,42140893.23,39608632.65,34469390.06,34581893.6,38017448.18,64375368.95,68799051.17,67045676.89,68251390.59
glycine betaine,2269340394,2346439296,2136457592,2158076866,1786862883,1894546503,1697238939,1877729789,1784282105,1716587453,1787376207,1947640569,1872942663,1962856870,1977744853
L-glutamine,1171359005,1101237301,1068910130,1029130077,752604418,1004881401,705891715.5,1325016274,1151015231,1181780064,1247110406,557101265.1,603858207.1,601689287.8,562985991.9
L-tyrosine,61311381.59,61247208.39,56479680.52,52005665.76,48858480.19,55871059.99,42680587.77,42991831.47,36540536.78,31894506.65,33430115.7,37901283.02,35656059.24,34155627.47,36956597.86
L-alanine,127151358.6,130481673.8,131100752.7,124208470.7,127726099.8,130141446.6,138929273.7,94412140.95,98744061.01,103494533.1,100617700.9,77216243.68,83398415.09,78759593.4,79540501.3
L-proline,2953679139,3102514730,2952502389,2902459677,2757350358,2449677093,2578685034,984828754.3,1060506594,1071117403,1017032293,1572100478,1596843588,1575814676,1538490508
