compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
 Thymidine ,1908591.552,1813463.214,1733361.222,1513682.097,1038346.815,1088365.008,998347.41,629992.794,660204.498,686962.941,584356.068,261410.985,455809.431,268566.48,295737.087
 Deoxyinosine ,505441.401,525472.374,471179.991,385997.82,355879.812,492180.744,424521.549,327527.439,239473.932,297726.534,227042.289,155982.447,171662.994,160446.438,127048.737
 Deoxyuridine ,2190553.458,2133867.534,2183299.674,1882402.941,2085186.63,2069294.094,2358197.13,1496750.754,2421458.367,2492842.002,1973799.612,563646.21,621607.599,592905.144,541931.049
alpha-D-glucose,26173688.15,25700377.93,25749502.04,24485401.02,19953463.76,28368388.5,15501278.47,14271262.25,8424830.211,5008490.046,9034496.604,999116.913,967034.229,1056729.891,779469.162
G6P/F6P,162275260.8,171026859.9,159480616.9,94161658.1,137644618.8,95560146.32,152850274.8,74919607.48,78823612.26,80247307.45,71534295.15,12443197.21,12707588.43,12319141.67,12328483.03
"beta-D-Fructose 1,6-bisphosphate",35161871.49,35886984.96,13564296.56,57978357.91,13067309.9,42828146.06,12536455.47,9305586.582,6061413.192,11823481.75,18992606.12,4050818.997,2627571.411,5026195.371,4990023.096
Dihydroxyacetone phosphate,7148278.995,7066709.187,6723726.252,6406910.487,10916989.38,9151603.362,7285636.761,8021124.42,8124454.803,8828693.538,8208559.431,894293.256,655484.895,715998.438,834267.765
D-Glycerate 3-phosphate/D-Glycerate 2-phosphate,39333431.94,39929295.56,17058389.23,49244560.03,25000676.91,38469245.06,25849800.25,15647069.69,11296037.93,17774602.64,20284705.83,9177074.772,9311143.989,13431381.83,13797553.54
Phosphoenolpyruvate,10800197.48,7572266.265,4664114.4,12107063.54,15201377.45,14044534.72,5326407.342,4939848.468,4980592.71,6537315.132,5379686.418,2210072.025,3870766.698,5785203.855,3184054.122
pyruvate,14236104.23,12562167.04,12868529.62,9655514.298,37913726.67,15697418.57,14467374.58,14594644.25,23163375.34,20822675.56,14085781.4,6087761.901,4585933.728,4196670.366,5543354.157
lactate,11644914370,12670225470,10729352320,10240341132,8641582690,9395014901,8231957145,7047310869,6981815373,6394192378,6053921118,395701820,493976509.8,418420791.7,408282750.5
citrate/isocitrate,707341696.7,730680828.2,521231238.5,685649384.4,668879045.9,844378165,472998548.7,543177055.1,434643991.5,543615717.5,523908880.4,576653172.6,425520229,600858280.1,552630024.2
cis-aconitate,2866272.264,2919619.011,2283037.038,2230880.523,1358113.194,2343157.407,2506758.237,2767862.046,2853763.488,3174998.988,2603709.432,2329719.36,1992222.957,2464376.151,1793076.735
2-oxoglutarate(2-),25336976.66,23767224.9,24551022.94,18716574.24,9465276.012,11982176.24,14810871.78,13754515.75,20219161.98,17247382.94,12773962.37,10009751.77,7907463.477,5194599.582,9480628.764
succinate(2-),436823832.7,425794930.9,408262826.7,397132714.7,260447692.6,277848868.5,236802649,168420318.6,113989237.9,90127120.68,98756469.13,93099932.43,102274938.8,90726865.81,104049255.7
fumarate,170887117.4,174252932.8,162482078.9,160910070.7,97399954.06,101872813.5,92563624.47,68854160.13,69982821.89,71259750.83,73299302.96,73897240.72,75949610.19,70074136.66,75767693.7
malate(2-),1112980995,1162919264,1038272412,1093083984,603169496.8,658452279,534345039.7,389813553.5,388328419.8,402487785.4,427697811.7,291572017.8,258710201.4,274994661.3,307045017.2
acetoacetate,7253254.005,7069915.743,6807240.735,6597289.593,6965856.261,6271778.286,8445292.965,8921962.215,7866627.021,7883043.243,8174406.663,9855960.855,9260721.261,8726362.476,9019185.915
2-Hydroxyglutarate,39586386,38084073.17,41821140.57,39728266.16,54675755.82,57134562.64,50289752.86,30541358.32,33344597.24,32468383.64,32636213.74,21594956.39,22319179.77,22893369.25,21011743.83
dUMP,30745.869,57587.817,59443.419,145611.975,55621.635,24269.778,22055.166,47674.911,74773.677,122473.461,96553.005,60068.088,11584.2,45315.849,69727.686
dTTP,1831527.165,1276630.305,508180.194,1300856.016,1351288.377,1017900.432,394230.681,761772.684,421457.961,743485.383,1224159.357,474452.646,88186.86,488575.017,305186.727
2-aminoacrylic acid,36669679.13,37893911.07,37535325.26,36124913.05,47597630.45,49590620.85,50000567.77,44853277.32,48813095.3,51446322.96,48648156.3,107429795.7,116837873.4,110702505.8,112828604.6
N-Methylethanolamine phosphate,879451.536,784848.582,762141.399,765399.09,525744.09,508168.305,549206.865,2710132.017,2521625.25,2693205.666,2787588.711,5650023.087,5726086.74,5876887.32,6139967.604
creatinine,743043644.3,787775112.8,720833234.3,769270234.7,612980386.8,853749833.8,546846870.1,514475612,330257980.9,318829205.8,397214234.7,92940802.06,90658003.79,104102062.4,100432491.9
creatine,2330782246,2460684799,2480794077,2436442014,1851952095,2384238812,2511580490,2614411347,2651893170,2766600669,2795863596,2393532302,2599258424,2361687389,2472228102
Phosphodimethylethanolamine,12023135.86,12367146.53,11173349.25,10709956.36,9977757.666,10683365.46,8843938.26,12446515.1,10170322.14,11221216.5,11599414.15,11031388.42,10988756.54,10872429.8,10878777.77
"5,6-dihydrothymine",87667605.04,86309967.44,88470125.19,82170509.91,84781520.66,74770487.12,73139537.31,51712221.56,46061313.27,49911059.8,49865363.36,32859584.62,34734788.81,34474487.82,32856287.96
2-deoxy-D-ribose,935275.413,868531.32,878166.918,774643.122,827613.588,1071432.447,764585.016,959646.606,858454.401,1069945.494,912496.464,1566362.112,1467166.668,1582228.407,1597318.14
2-keto-4-methylthiobutyrate,1965731.019,1985659.059,1736235.495,1645355.349,1203463.413,1333560.03,1190835.189,1320601.179,997225.725,833259.576,882248.577,2265670.305,2069119.155,2149323.561,2310708.333
L-cysteinylglycine,8592744.741,3071714.076,5103768.444,1203350.868,10043160.91,9607696.284,3659739.33,1002285.096,6275298.81,3672566.799,2123093.775,1000,64550.655,1776228.144,1000
choline phosphate,4430528678,4483134598,3982208379,4038204461,3221842752,3409224052,2992737377,2381629610,2398153102,2457410190,2545775800,2397586927,2426741574,2481520399,2455096682
Nicotinamide,189430058.7,242190970.3,189127451.6,265376629.7,162142798,196211133.3,146202847.7,180413681.7,63313483.76,73992852.37,152810174.1,350548464.1,224779933.3,257563204.7,340782390.6
Urocanate,8599527.69,8468675.283,10875220.92,7198279.557,12101404.01,7670563.401,18157067.54,7067436.213,13506078.32,11869290.34,16498163.7,12777040.42,12211298.51,12761147.06,14568883.41
Methylimidazoleacetic acid,4076437.098,4149667.809,3729180.723,4198604.325,4603830.618,4304109.006,4147123.587,3656821.395,3564389.559,3255925.551,3263004.006,1880717.373,1518190.101,1543502.112,1482373.515
citr_L[e],13222018.38,12881384.11,12598787.33,11683451.45,4818671.475,5843716.593,4445686.491,14360972.41,11298348.04,13133166.32,12123098.44,10389637.69,10043695.87,10348444.31,10645299.08
D-Glucosamine,2825127.93,2574590.163,2145429.984,1507926.51,1794124.848,2190083.1,1216684.134,2300737.806,870790.944,677969.241,955503.9,9551.319,3423.798,7197.84,1000
benzoate,8824651.23,8774885.913,8431308.873,8225338.257,7562809.56,8716341.33,6274293.954,6116782.779,5493339.051,4931770.038,5056159.29,5438775.753,5364751.827,5378342.94,5448313.719
anthranilate,14369534.27,15344273.79,15139610.73,14311633.72,15420565.33,16683720.16,15836840.83,8740313.067,14747193.62,11993203.76,12924013.25,12351957.04,12425926.19,14445614.58,13443240.58
N(2)-acetyl-L-ornithine,2142691.347,2127417.786,2354688.45,2296453.689,2046043.155,2093680.731,1688511.369,1682176.161,1108719.21,1025998.065,1104297.864,626918.508,747389.652,885900.936,780783.378
dopaminochrome,12657188.24,11259110.93,11990151.92,10725901.49,7953882.471,9583427.997,6107843.985,3789316.797,3725991.792,4789900.911,3935106.228,2169206.376,2303141.856,2492433.066,2252901.948
Pyridoxal,9987377.349,8861461.134,9481730.928,8208891.954,6268268.31,7439019.804,4523092.167,3070468.629,2759981.037,3706061.757,3030603.342,1771883.697,1893211.32,2107117.263,1962322.656
sn-Glycero-3-phosphocholine,5296977950,5360779786,4641602917,4723324924,7374585363,7852628384,6593786003,4249358444,3527030692,4096989861,4209921850,4533010352,4408338338,4665669563,4453019291
5-amino-1-(5-phospho-D-ribosyl)imidazole,235925.631,2563276.413,3541634.487,2616730.548,2622033.021,5748174.879,7153742.964,4058518.971,4885936.584,5812488.873,5433921.162,4613552.808,6223159.773,2354619.234,5563778.172
coumarin,4387036.113,4560246.417,4105681.635,3605239.068,3686024.436,4048756.83,3227498.979,3161942.031,2591612.907,2422590.24,2414666.763,2708765.928,2418818.67,2578282.866,2867862.75
N6N6N6-Trimethyl-L-lysine,80181529.13,4746702.579,79649411.17,63997220.95,52711293.29,61926644.79,52989140.18,36385190.2,33461943.11,27564235.82,30617125.61,26051152.4,28267295.3,24602478.58,29618399.23
L-Alanyl-L-leucine,1219361.301,1348569.708,1220550,1397650.839,1267245.828,1571644.068,1083049.527,1416213.585,2007482.7,1114274.937,1366116.234,910961.661,973835.703,907812.171,921735.006
3-Hydroxy-N6N6N6-trimethyl-L-lysine,1670826.057,1189425.747,1557432.219,1384936.983,1024811.496,1077213.45,957130.497,623732.307,404715.612,353354.298,436304.697,293956.068,291402.252,278415.393,342801.897
C9H13N5O3(4),697912027.8,678399667.2,638057949.3,636644270,601791927.9,695045733.1,490793153.9,564534826.2,355754516.7,293952313,372687070.7,406833136.1,354604245.7,364285131.6,398475391.4
5-Hydroxyindoleacetate,699058.017,649011.18,596837.412,594596.937,588483.258,664578.75,448697.307,347985.489,248329.098,255885.339,288032.526,449377.971,464284.665,442311.225,573442.053
N-methyl-467-trihydroxy-1234-tetrahydroisoquinoline,179882.625,130714.617,211541.274,129256.8,82075.221,81395.118,174727.176,106290.942,152510.169,139700.085,105888.405,68887.656,118834.686,78535.473,61991.952
xanthosine,636014.79,695064.513,725457.861,747010.203,594882.657,486622.635,581032.734,384700.371,220094.418,327060.777,341374.779,118514.937,130141.068,105299.727,151737.168
