X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1700010I14Rik,88.36299748,-0.170971496,0.211962952,-0.806610278,0.41989105,0.579468719
1700010K24Rik,0.55695051,-0.882181397,2.352858476,-0.374940272,0.707704888,NA
1700011E24Rik,0.318990878,2.094134794,3.523355868,0.594358013,0.552272685,NA
1700011I03Rik,0.549764905,0.523354097,3.040565194,0.172123952,0.863340083,NA
1700012B07Rik,1.847307867,0.35072548,1.267616993,0.276680955,0.782025097,0.867593455
1700012C14Rik,0.282530261,0.429296796,3.713762425,0.115596192,0.907972581,NA
1700012L04Rik,2.313171007,0.9653318,1.201077528,0.803721473,0.42155785,0.580769228
1700014D04Rik,0.598605753,1.911717873,2.221614784,0.860508261,0.389508932,NA
1700015F17Rik,0.264061859,-1.245725651,3.801358875,-0.327705353,0.743134456,NA
1700016A09Rik,0.83811104,-1.609392112,2.100774723,-0.766094572,0.443620033,NA
1700016C15Rik,0.544570279,-0.872712153,2.645388593,-0.329899416,0.741475964,NA
1700016G14Rik,0.681736251,-1.294055506,2.476596994,-0.522513557,0.601312809,NA
1700016K19Rik,7.064975667,-0.008580002,0.723421089,-0.011860315,0.99053706,0.995251308
1700016L21Rik,0.26504371,-1.248859195,3.815876609,-0.327279764,0.743456297,NA
1700016P03Rik,6.338742693,1.241118668,0.827049955,1.500657438,0.133444187,0.24974472
1700017B05Rik,1856.847482,-0.107757698,0.12191786,-0.883854902,0.376774545,0.538605606
1700018B08Rik,0.411154879,-0.290208484,2.867992304,-0.101188725,0.919400647,NA
1700018L02Rik,3.216804425,0.880296793,0.933626125,0.942879349,0.345742619,0.506079645
1700018M17Rik,1.023496611,1.909758429,1.77699862,1.074710136,0.282504524,NA
1700019A02Rik,1.53212592,-0.24202308,1.388623902,-0.17428987,0.86163766,0.917799099
1700019B03Rik,1.946057258,-0.728563802,1.460572245,-0.49882079,0.61790564,0.749496219
1700019D03Rik,492.8836857,-0.80955154,0.153313028,-5.280383224,1.29E-07,1.62E-06
1700019G17Rik,133.7903175,-0.52133745,0.166513471,-3.130902541,0.0017427,0.006875712
1700019L03Rik,20.77923442,0.172982309,0.42360901,0.408353706,0.683014016,0.797372672
1700020D05Rik,31.7310736,0.386578449,0.334538055,1.155558966,0.247861601,0.399105341
1700020I14Rik,4164.542992,-0.442839362,0.092092204,-4.808652007,1.52E-06,1.43E-05
1700020L24Rik,16.60573499,-1.141478582,0.532326303,-2.144321211,0.032007158,0.080158986
1700020N18Rik,11.70078605,-1.209236714,0.581583714,-2.079213507,0.037597731,0.091021869
1700021A07Rik,41.81057034,-0.056122167,0.298786463,-0.187833702,0.851007016,0.911609064
1700021F05Rik,149.7314653,0.052528913,0.161869988,0.324512989,0.74554969,0.841865735
1700021K19Rik,865.3769193,0.147573517,0.079300949,1.860930032,0.062754058,0.137335473
1700022I11Rik,0.274420249,-1.27350447,3.754540662,-0.339190485,0.734466236,NA
1700022N22Rik,5.111992173,0.590754796,0.820432688,0.720052729,0.471492531,0.629025762
1700023F06Rik,0.735683419,1.179745463,2.162312694,0.545594292,0.585344849,NA
1700023H06Rik,8.527630887,2.51541731,0.722028613,3.48381943,0.000494313,0.002319126
1700025G04Rik,76.01522507,2.275124753,0.663196559,3.430543662,0.000602373,0.002755982
1700025N23Rik,0.60568907,0.697259115,2.583178301,0.269922953,0.787219529,NA
1700026D11Rik,6.637149575,2.219779481,0.79373238,2.796634657,0.005163789,0.01741848
1700026L06Rik,0.584261821,1.890309484,2.506761114,0.754084413,0.450798536,NA
1700027F09Rik,7.952786452,-0.127520482,0.618473609,-0.206185811,0.836645771,0.902451921
