"","B6.6","B6.7","B6.NT","TC.1","TC.5","TC.7"
"9430083A17Rik",6.53880335342508,6.56653355551957,6.46778645297708,6.38315364058046,6.38305495618366,6.38333186489474
"Spin1",11.8125966762307,11.7033507734751,11.6749246856462,11.9937721804142,11.8017149598767,11.8963949878183
"Nxnl2",2.97301453777141,2.97305115488455,2.97304387078276,2.9801926038548,3.00450402496646,2.97306451158646
"S1pr3",7.62359130705198,7.74313153104568,7.40113225639097,7.40127793789777,7.49049061707179,7.72754164994325
"Cks2",8.0574953591108,8.23144373956313,8.18538170591535,8.09659093884417,8.12445245623829,8.06382596858993
"Secisbp2",11.3212727845669,11.0746623037212,11.2875715862851,10.8077552927868,10.9982972032557,10.9657788907945
"Sema4d",13.5780464742935,13.3832752738138,13.1124295734946,13.3060182835526,13.4647340650317,13.3430221781241
"Gadd45g",9.44311205019107,9.77739946544537,9.89632703491008,9.82433989014664,9.84238182887205,9.81275043928069
"4921525O09Rik",6.52295639052915,6.16893688863953,6.17085724492953,6.16890462498461,6.24114933673119,6.16911647873949
"Diras2",4.31389186747527,4.38088330033027,4.34439068911781,4.31397968088556,4.31395730124844,4.31512774230409
"Gm2848",3.7331718909411,3.74530170328312,3.72327084899205,3.73488923639697,3.72953200039981,3.73861469636665
"Syk",10.1472018913852,10.3379871879334,10.3143229463075,10.0428399542914,9.91198046265182,10.7067105546162
"Auh",10.3847608847344,10.2334076781229,10.5333457375218,10.4195070310976,10.2240010996688,10.2799021936622
"Nfil3",10.2706692136654,10.7168156707841,10.7416676453161,10.4267625111352,10.385868251302,10.3954966071857
"Sptlc1",10.6422030816108,10.6173790012405,10.6829764233453,10.4040628045798,10.6234087943565,10.5938496251879
"Gm2762",3.75075272616781,3.7127911616325,3.71444516281607,3.7243612306657,3.72598696844721,3.71281346793638
"Sfxn1",11.8364712687323,11.7678194839871,11.5200098954957,11.8446257917309,11.6951240137293,11.8414105467659
"Hrh2",8.47961603618214,8.56301061899538,8.57431948344249,8.68901502298538,8.64217733669553,8.6119435088275
"Cplx2",0.395983218326737,0.402450100009402,0.395988119587928,0.395988936032168,0.395987478744746,0.395991568602952
"Thoc3",11.208049654326,11.2186861284792,11.2659152036822,11.2546656049389,11.2908469668113,11.1635822486785
"Simc1",10.2375979643378,9.91641886239639,10.022740012281,9.74992081536491,9.76583890460008,9.96336073836043
"4833439L19Rik",12.2826895277016,12.3941688366754,12.4935977138644,12.0885233431759,12.1659286950754,12.2268310550058
"Arl10",7.01870103466508,6.98681312618893,6.97286346680635,7.0032552127714,7.00404969038928,7.03952483543784
"Nop16",10.6131390962315,10.6890175062706,10.8285341193885,10.7629724848255,10.9257456411716,10.9139205028826
"Higd2a",11.444066339066,11.5971715430342,11.2999306314653,11.6487051944166,11.4783629893896,11.5284178198756
"Cltb",10.9535139486106,10.8467514893771,11.0699013188091,11.0360995800132,11.0144078494211,10.9875901199878
"Faf2",12.0997620371753,12.2303951697717,12.3589670240199,12.0576842391132,12.0386061411213,11.9008200043669
"Rnf44",11.079624626393,10.8716336417347,10.9370226347559,10.9269378881407,10.8430216247409,10.6838914391544
"Sncb",3.04412132276393,3.04039178659209,3.03431945701994,3.03470141999234,3.03324043063042,3.02935798389402
"Tspan17",8.49551605029172,8.68630098138961,8.61063015956677,8.69929444162879,8.51781379235272,8.59265110404532
"Unc5a",10.5469732936436,10.2661532974119,10.9427283836327,9.65790610381578,10.1514614000111,9.11722490491385
"Hk3",7.91295871447028,7.58675702200733,7.78547828695075,7.71406186391133,7.85793332934447,7.72974700624158
"Uimc1",11.8003831419109,11.7651204852416,11.718401731688,11.9740246173631,12.0083038346172,12.0592302397993
"Zfp346",10.0486012635883,10.1488614278348,10.3427586965491,10.2015033291161,10.1177891673001,10.1137735175865
"Fgfr4",2.38131143163217,2.38414927950844,2.38201511869322,2.3875516489976,2.38264529700988,2.38501746907992
"Nsd1",11.7426760227752,11.6341540216372,12.0037146752722,11.6322301930866,11.6352922591341,11.7451496111952
"Rab24",12.6755692606024,12.9493237012087,13.1780020666341,12.9551768119437,12.8900182864294,13.1060346462913
"Prelid1",12.8503235233606,13.0618741178372,12.493241594695,12.8430425013073,12.9040292626115,12.7616207977689
"Mxd3",4.46842771333592,4.54898856300927,4.47436972265362,4.46852563344121,4.49183472210987,4.46857071112571
"Lman2",14.1276043113605,13.9768754725637,14.0708411650249,14.0630638713355,14.180600099055,14.2442239845736
"Rgs14",12.9107592030701,12.7231117682175,12.9355396796997,12.7210573592632,12.8416318874338,12.7015223643478
"F12",5.13886819993278,5.13903662379701,5.2592504546426,5.13902559561559,5.19407273031418,5.1390980462437
"Grk6",14.1896736464935,14.0544279113975,14.1157432871679,13.9897583486987,14.2142690856071,14.1667572634809
"Prr7",4.97926829332751,5.03631483437985,5.05769116007059,4.979408880623,4.99661957770066,4.98391406683791
"Dbn1",4.20904598165983,4.20913346586117,4.20911606398522,4.20912773706937,4.23700941662368,4.2728470334758
"Pdlim7",10.0669674336882,9.78824441725486,9.84059908719815,9.7848879636849,9.75376613671376,9.9153719354783
"Dok3",9.80169231056059,9.76187875200399,9.77063734742855,9.82555829077311,9.79603355266248,10.0523101163704
"Ddx41",12.8365106499188,12.7629626254509,13.1045025468086,12.5055164544704,12.7636685448037,12.631385615657
"Fam193b",11.1920061936411,10.8742135555518,11.2903147491069,11.2044136337208,10.9656360877319,11.0375030770409
"Tmed9",13.4603920332164,13.3931341720066,12.8829468006397,13.411142676696,13.0377666273372,13.3912884839732
"B4galt7",10.7660869244566,10.850344736989,10.8999024114271,10.6924410103517,10.6769421324982,10.7780259127443
"Caml",10.5724674194806,10.6791517316645,10.6213076206498,10.3594594562932,10.6824683685419,10.2429414937173
"Ddx46",11.9226981804251,11.8753438126367,11.8518202110733,11.8396385203984,11.9213146307938,11.8823768321312
"B230219D22Rik",10.6913253709262,10.4574351438862,10.7666458696554,10.6220961714278,10.291592290511,10.4719806932986
"Txndc15",12.0652624581177,12.170549746943,12.0161439193591,12.2760375862321,12.0631491944364,12.1005236290394
"Pcbd2",10.171889771441,10.2169963918815,10.2298128028535,10.3321208012407,10.0394190439611,10.2013791129857
"H2afy",13.749793788306,13.5728630884063,13.4680595124777,13.8672148913333,13.6768770341897,13.5369522405356
"Tifab",7.43350325682386,7.38591833736465,7.36946620967789,7.34622046831944,7.27084106657092,7.23642315804561
"Fbxl21",5.18656196826127,5.18577942191859,5.34045892722564,5.18673529119123,5.22128534815474,5.18704042683618
"Tgfbi",7.27514684031332,7.23838499144775,7.55732380270099,7.45838414374939,7.22276102982936,7.18548371777907
"Smad5",9.7416402703707,9.54051646030643,9.99142216960995,9.5430823616321,9.58447298392322,9.62701757447173
"Trpc7",1.85755786933335,1.85757469748436,1.85757134985646,1.85757359541265,1.87535097230416,1.85758083604606
"Klhl3",6.26878199370301,6.33148045440768,6.23022555805411,6.20498648273702,6.20915626441309,6.25587930074495
"Hnrnpa0",9.93772166570084,10.2575069391457,9.90816627912373,10.2400121492646,10.0284655807461,9.99064634335227
"Idnk",11.6785719551123,11.7079489109677,11.9920135568775,12.0660065365769,11.9241271368478,12.1426690202794
"Ubqln1",12.8815540702772,12.8678695511577,13.260691378965,12.9631252209208,12.8719577921574,13.0140910977984
"Gkap1",3.97881332531812,4.00902409675209,3.98637164185622,3.98605585035338,4.00970970425086,3.98112308100675
"2210016F16Rik",12.5183386386966,12.5119163520142,12.2806646049441,12.5654293381974,12.2834112284925,12.4652406731906
"Hnrnpk",15.4641773410197,15.6594015200486,15.4898221087794,15.639812311143,15.5685888407413,15.5804138570108
"Mir7-1",3.01651238196431,3.01359835928393,3.00528561541482,3.01597624767305,3.01230421750413,3.00750551516396
"Rmi1",9.99605823138946,10.2017154948428,10.0171203997799,10.015775786711,10.015092827758,9.99003350858524
"Agtpbp1",10.4840252241786,10.4792495499275,10.5770479572188,10.4538520589921,10.391339441015,10.5361897460914
"Naa35",11.6088082369589,11.3714831696806,11.2310408906658,11.5971826988413,11.5153631847698,11.477762511969
"Golm1",11.6621021211552,10.7026142451789,11.5109140010019,10.7433924833904,11.2581307385783,11.1962579720711
"Isca1",10.674036550729,10.7734292409532,11.1845351070738,10.9356138850604,10.9551162379856,11.0257394135119
"Etohd2",7.34972842449596,7.42008594615472,7.42057096583214,7.300804398695,7.39248286635827,7.31126631522309
"Zcchc6",12.379621175036,11.9570942950202,12.2667785688186,11.9675170065295,12.2294706163916,11.8967249231732
"Gas1",-1.43568332422993,-1.43431308017614,-1.43558481296668,-1.43556192703956,-1.43560401555393,-1.43549771213291
"Dapk1",4.75259178304941,4.75271979583835,4.75269433297916,4.83157635047715,4.80756542956062,4.75276648366904
"4930486L24Rik",6.78353345127681,6.92765630512226,6.74566156692131,6.77130005162824,6.78808038002727,6.74834773977152
"Ctla2b",7.94569209614881,7.86250677936461,7.83674582586048,7.99354664214111,7.81250462583331,7.84769873633201
"Ctla2a",9.05331069673234,9.09059021290622,9.32720172661733,9.43266290434081,9.10581975603668,9.37437977195364
"BC052688",-1.44230236064306,-1.44218359542238,-1.44221191441717,-1.4421925907494,-1.44118266308091,-1.44213837107478
"Zfp808",7.60881329856273,7.77848946563847,7.65024961771028,7.75846445124651,7.63881448855613,7.69397761625252
"Gm3604",7.13400498725402,7.23652148080515,7.25309912061253,7.27008403795023,7.30126534542763,7.30811695034056
"Zfp935",8.50068309652861,8.55864713977928,8.75462317297381,8.68337461718887,8.79258418556413,8.70217363411615
"Zfp934",7.35116973077501,7.22801576317483,7.43318971776684,7.45680257076772,7.34041562886093,7.31149754921294
"6720489N17Rik",5.58072077146607,5.580952388733,5.65677896230901,5.62788594644223,5.61828666970294,5.66076664763844
"Gm5141",7.30180365342906,7.30034128630489,7.26224528600586,7.28074090903416,7.31441226006985,7.28813304481188
"2010111I01Rik",11.8617901450694,11.8933373081146,11.8652124286726,11.9836421248964,11.622057126501,11.8207328254287
"Gm16907",7.76506286065555,7.96892303831163,7.92474099518524,7.84014411240811,7.85328539859545,7.91283694327996
"Fancc",9.54305636396604,9.533385045093,9.40508531756912,9.0011575043636,9.1895811376024,9.37539387433566
"Ptch1",8.88274973535435,9.05747829991798,8.96515557614395,8.69371955066963,8.96303233538209,8.98421021875272
"Ercc6l2",10.6083477340373,10.2756187678277,10.67731167583,10.0618962812229,10.2445911955686,10.2859231140296
"Slc35d2",10.1272804783399,10.4562566146859,10.4001743758946,10.4699368584753,10.2222508802641,10.2263101741499
"Zfp367",8.68707399691397,8.92975255684125,8.65065922460424,8.57150025863357,8.76790532334341,8.62787460769608
"Habp4",11.6521509845523,11.2133096843451,11.4481699510709,11.3031969431014,11.3185010394031,11.283144434863
"Cdc14b",7.68848261375889,7.71758331237693,7.95916541768699,7.82708090162172,7.8131074060249,7.8832611024036
"1810034E14Rik",7.72679672983994,7.62802458002584,7.55809985512274,7.81022779149494,7.85718468286131,7.75620235684413
"Aaed1",9.416439220328,9.48804923646207,9.57085402317209,9.49182345413487,9.33518494257578,9.42993919915232
"Ctsl",9.22113380289228,9.42816406965937,9.05145913505549,9.25117574850446,9.02507751056085,9.02747795933319
