MID,C2_B6.1_Tfh_007,C2_B6.2_Tfh_008,C2_B6.4_Tfh_009,C2_B6.6_Tfh_010,C2_B6.7_Tfh_011,C2_B6.8_Tfh_012,C2_B6.1_Tn_001,C2_B6.2_Tn_002,C2_B6.4_Tn_003,C2_B6.6_Tn_004,C2_B6.7_Tn_005,C2_B6.8_Tn_006,C1_B6.1_Tfh_004,C1_B6.1_Tn_001,C1_B6.2_Tfh_005,C1_B6.2_Tn_002,C1_B6.3_Tfh_006,C1_B6.3_Tn_003,C1_TC.1_Tfh_010,C1_TC.1_Tn_007,C1_TC.2_Tfh_011,C1_TC.2_Tn_008,C1_TC.2_Tn_009,C1_TC.3_Tfh_012,C2_TC.1_Tfh_018,C2_TC.2_Tfh_019,C2_TC.3_Tfh_020,C2_TC.4_Tfh_021,C2_TC.1_Tn_013,C2_TC.2_Tn_014,C2_TC.3_Tn_015,C2_TC.4_Tn_016,TC_Tfh_geoMean,B6_Tfh_geoMean,TC_Tn_geoMean,B6_Tn_geoMean,log2FC_Tfh_TCvsB6,log2FC_Tn_TCvsB6,log2FC_TC_TfhvsTn,log2FC_B6_TfhvsTn,ttest_pval_B6_TfhvsB6_Tn,ttest_tscore__B6_TfhvsB6_Tn,padj_lim_ttest_tscore__B6_TfhvsB6_Tn,ttest_pval_TC_TfhvsB6_Tfh,ttest_tscore__TC_TfhvsB6_Tfh,padj_lim_ttest_tscore__TC_TfhvsB6_Tfh,ttest_pval_TC_TfhvsTC_Tn,ttest_tscore__TC_TfhvsTC_Tn,padj_lim_ttest_tscore__TC_TfhvsTC_Tn,ttest_pval_TC_TnvsB6_Tn,ttest_tscore__TC_TnvsB6_Tn,padj_lim_ttest_tscore__TC_TnvsB6_Tn,ftest_pval,ftest_fscore,padj_lim_ftest_fscore,X2wayAnova_pval,padj_lim_X2wayAnova_pval
MID_11,9.90839262077375,10.103287808412,9.77807712953536,10.4584066132365,9.92777796208234,10.2021238238305,10.168672118132198,10.6891244049133,10.048486873992301,9.8376279331714,10.045759661382698,10.0967151544885,7.76155123244448,6.882643049361839,7.2288186904958796,8.79116288855502,7.19967234483636,7.08746284125034,7.17990909001493,7.21916852046216,7.66533591718518,7.679480099505451,7.0,7.70043971814109,9.974414589805528,9.909893083770038,10.4532706340106,9.98013957763916,10.0579917227592,9.884170519108439,10.1484765821783,9.70563238736142,8.980486087223788,9.17423424729413,8.8135599759107,9.29418388058307,-0.193748160070339,-0.48062390467237004,0.16692611131309198,-0.11994963328894001,0.8559603720000001,-0.18447289600000003,0.979256638,0.78339489,-0.280235775,0.915859731,0.829013698,0.22072988100000002,0.975291111,0.511884945,-0.673031103,0.773482419,0.908227853,0.181248252,0.9538448429150941,0.7749998859999999,0.929192608946809
MID_12,8.37937836707126,9.228818690495881,8.233619676759702,8.64745842645492,8.61102479730735,8.33985000288462,8.4594316186373,9.23840473932508,8.98299357469431,8.581200581924959,8.4178525148859,8.257387842692651,8.60733031374961,7.546894459887639,7.4262647547021,8.06608919045777,7.33091687811462,7.23840473932508,7.12928301694497,6.39231742277876,6.857980995127571,7.92481250360578,7.546894459887639,6.95419631038687,8.870364719583401,8.35314682549808,8.7279204545632,8.79116288855502,8.91587937883577,8.44708322620965,9.29920801838728,8.4797802640291,7.95486503009416,8.31162910083778,8.143710753390572,8.3098510290923,-0.356764070743624,-0.166140275701729,-0.18884572329640803,0.0017780717454876102,0.99520287,0.00610697,0.99520287,0.366859234,-0.932545622,0.646371031,0.715928957,-0.37262042100000003,0.934918991,0.684233867,-0.415276425,0.883139061,0.777760735,0.36642487,0.8868693404081629,0.733143905,0.929192608946809
MID_13,8.751544059089099,9.2336196767597,8.854868383260241,9.25266543245025,8.89178370321831,9.18487534290828,9.162391328756911,9.4797802640291,8.864186144654278,8.38801728534514,9.11634396123747,8.90689059560852,8.64745842645492,9.14465824283188,8.4178525148859,9.4262647547021,8.4262647547021,9.36632221424582,9.30606168942834,8.257387842692651,9.17492568250068,8.5077946401987,8.27146302790437,8.87958324961278,9.2644426002266,9.11634396123747,9.39660478118186,9.07681559705083,9.52160043972373,9.301496194982551,9.56795607541547,8.65105169117893,9.173539651605509,8.851214699303199,8.8683928445852,9.09498386571236,0.32232495230231,-0.22659102112715804,0.305146807020311,-0.243769166409157,0.139310461,-1.5558075740000001,0.5332228,0.032345578,2.37557454,0.239357275,0.205765317,1.33779267,0.484767117,0.34299751700000003,-0.981514546,0.764977885,0.25121502100000004,1.443528525,0.47282228633898293,0.049845888,0.6147659520000001
MID_14,10.5980525001616,10.9950604670327,10.888743248898301,10.999295387023402,10.7788984760084,10.7185328760692,9.15734693536284,9.27844945822048,8.991521846075699,8.06069593168755,7.98868468677217,7.5235619560570095,8.12412131182919,9.022367813028449,8.299208018387281,8.70735913208088,9.85953478638265,8.82017896241519,8.94544383637791,8.36632221424582,9.691743519171279,8.38370429247405,8.06608919045777,9.32418054661874,10.8963324039099,10.019590728357901,10.7151040092362,11.3431857154479,9.44501484586842,7.9943534368588605,8.05528243550119,8.25266543245025,10.13365439416,10.1401607857547,8.36620454969377,8.61668519130003,-0.00650639159477251,-0.250480641606265,1.7674498444662101,1.5234755944547098,0.002848863,3.518685514,0.045174827,0.9902798270000001,-0.012402082,0.9902798270000001,0.0005952619999999999,4.615043149,0.008259256999999999,0.394707341,-0.8781048909999999,0.764977885,0.00010339700000000001,10.21203574,0.0014346333749999998,0.68597034,0.929192608946809
MID_15,12.434367601668901,11.0566377151132,11.431497604258098,11.8703647195834,12.174613647235901,12.1260591160707,12.516438734607902,12.5000949496718,11.4241662888181,7.882643049361839,10.8695938432408,11.3960695576399,7.25738784269265,6.39231742277876,7.49185309632967,7.0,5.857980995127571,5.70043971814109,6.5849625007211605,5.8328900141647395,4.807354922057599,5.78135971352466,6.1699250014423095,5.49185309632967,13.1275107630564,13.287568102831399,12.820577882655801,12.1608168496735,13.1656921523201,12.9238845463853,12.500841879556901,12.914571997649,9.7543777310465,10.188973593119998,9.89845218643473,9.520195951584471,-0.434595862073508,0.378256234850259,-0.14407445538822303,0.668777641535543,0.600338799,0.534509059,0.958995267,0.792094903,-0.268679727,0.915859731,0.94486494,-0.070618106,0.975291111,0.8179167009999999,0.234598515,0.952426245,0.9765318629999999,0.06789224599999999,0.985409425390909,0.724575918,0.929192608946809
MID_16,5.24792751344359,6.70043971814109,8.91587937883577,8.90689059560852,6.442943495848731,7.48381577726426,7.5849625007211605,7.02236781302845,7.8008998999203,8.28540221886225,7.794415866350111,7.53138146051631,11.6142497276894,8.10328780841202,8.44708322620965,8.257387842692651,8.27612440527424,5.7279204545632005,8.10328780841202,7.14974711950468,7.2288186904958796,9.090112419664289,7.48381577726426,7.85174904141606,6.94251450533924,5.97727992349992,13.2137117981057,8.348728154231079,6.94251450533924,6.5849625007211605,8.37068740680722,5.614709844115209,8.23801284592855,8.00392820425725,7.31950708191658,7.5675584294518305,0.23408464167130202,-0.24805134753525,0.918505764011973,0.43636977480542205,0.522187431,0.6543409920000001,0.904488031,0.82527667,0.224939206,0.934752147,0.368778494,0.933877347,0.705765738,0.616797978,-0.511756598,0.8349338479999999,0.692391709,0.48947921200000005,0.8318342506451608,0.677706461,0.929192608946809
MID_17,10.6293566200796,11.316281531746199,10.903881845736198,11.2749604721406,10.890264277021101,10.8129794712515,10.8368393597487,11.5072991241228,10.7380922596205,10.8073549220576,10.841564347730598,10.8049376720519,10.958552715431,10.7944158663501,10.515699838284,10.8399910705399,10.653740778706599,10.61194694182,9.95128471496697,10.1421070573025,10.203348002979801,9.851749041416062,10.4614794472862,9.964340867792421,10.4696418172395,9.868822554774999,10.1137421660492,11.1312139050863,10.6786001390995,10.099347810403199,10.5274770060604,10.4125698468052,10.2431991469842,10.883968616710801,10.310475764053301,10.864715729338,-0.640769469726598,-0.554239965284715,-0.0672766170691279,0.0192528873727547,0.8787580140000001,0.155002318,0.979256638,0.0030134579999999997,-3.580397942,0.055748973,0.74094472,-0.33835133100000003,0.9453432629999999,0.001075315,-4.103236241,0.059680002,0.000167818,9.527441133,0.0018627798,0.702475183,0.929192608946809
MID_18,8.76818432477693,8.204571144249199,8.348728154231079,8.43879185257826,8.546894459887639,7.5849625007211605,8.33985000288462,8.77478705960117,7.5849625007211605,8.29462074889163,9.126704472843189,10.300352560328198,8.66177809777199,8.4797802640291,8.005624549193879,10.4019461239765,8.01122725542325,7.5774288280357505,8.49984588708321,7.69348695749933,6.65821148275179,7.62935662007961,8.0,7.04439411935845,7.4262647547021,7.13955135239879,7.3037807481770995,7.74146698640115,7.93073733756289,8.37068740680722,8.31288295528435,7.62935662007961,7.40193076155323,8.28564025987038,7.938072556759,8.76449250681237,-0.883709498317149,-0.826419950053373,-0.536141795205773,-0.478852246941997,0.207675673,-1.313084802,0.62302702,0.002539422,-3.666697117,0.055748973,0.054619235999999995,-2.129338167,0.251867379,0.060548357000000004,-2.041211504,0.648639835,0.002860519,5.945369945,0.0198448505625,0.9040926340000001,0.9940521459999999
MID_19,13.8211760562699,14.6681093715379,14.1581362854076,14.413627929024198,14.1590040719246,13.796242448203198,13.478390445167001,14.5553081014013,13.4947306054951,13.8958592495189,13.8088636491874,13.921004080013402,12.8356556908398,11.7611356498286,12.911017407797,11.427312844135,12.7304701371842,11.485829308701902,11.4863322527687,12.1876613657391,12.5437568533759,11.7519624134609,11.9668659003875,11.7108064336994,13.488593333835402,13.184410482249902,13.4386619210214,13.935717559359901,13.2446611447642,13.0539258815311,12.6624458575807,12.9003007862482,12.826896976615801,13.7214932664654,12.5382604785302,13.0920482148276,-0.894596289849581,-0.553787736297373,0.28863649808555203,0.6294450516377591,0.19534945899999998,1.351455382,0.619536856,0.048944932000000003,-2.156236343,0.265386423,0.501083608,0.6936912670000001,0.775527057,0.280259565,-1.123164789,0.764977885,0.07746383,2.529882918,0.209719149512195,0.601053518,0.929192608946809
MID_20,10.209453365628901,10.604553229079,9.758223214726721,10.122827994807698,9.467605550083,10.6229669447905,10.1848753429083,11.4878400338231,10.0552824355012,9.36632221424582,10.9366379390026,10.138271800172198,9.88569637333939,10.2215871212648,9.40087943628218,10.4878400338231,9.35093918154643,10.3793783670713,11.2732128098543,9.18239435340453,10.509775004326901,9.055282435501189,9.54882190845875,10.3869402453243,10.1799090900149,9.84705734609134,10.4419067045422,10.685624839726401,10.9957671508778,10.643856189774699,10.824163209744198,9.754887502163472,10.4749180056972,9.93590503225377,10.0007389642749,10.362003920868,0.539012973443441,-0.361264956593082,0.474179041422261,-0.4260988886142629,0.115217115,-1.6657536380000002,0.456753564,0.038868482,2.278962854,0.253788322,0.19789711899999998,1.363046556,0.484767117,0.318017926,-1.035441471,0.764977885,0.214497425,1.587794247,0.449230456132076,0.041576582,0.57687507525
